?n	?predicate
2297479	<http://www.w3.org/1999/02/22-rdf-syntax-ns#type>
519059	<http://geovocab.org/geometry#geometry>
519059	<http://linkedgeodata.org/ontology/changeset>
519059	<http://linkedgeodata.org/ontology/version>
519059	<http://purl.org/dc/terms/contributor>
519059	<http://purl.org/dc/terms/modified>
499408	<http://www.w3.org/2000/01/rdf-schema#label>
419818	<http://linkedgeodata.org/ontology/gadmSameAs>
419818	<http://www.w3.org/2003/01/geo/wgs84_pos#lat>
419818	<http://www.w3.org/2003/01/geo/wgs84_pos#long>
233093	<http://linkedgeodata.org/ontology/cuisine>
147448	<http://linkedgeodata.org/ontology/addr%3Astreet>
135623	<http://linkedgeodata.org/ontology/addr%3Ahousenumber>
115099	<http://linkedgeodata.org/ontology/addr%3Acity>
71205	<http://xmlns.com/foaf/0.1/phone>
67688	<http://xmlns.com/foaf/0.1/homepage>
59345	<http://linkedgeodata.org/ontology/source>
48300	<http://linkedgeodata.org/ontology/addr%3Acountry>
47876	<http://linkedgeodata.org/ontology/opening_hours>
44431	<http://linkedgeodata.org/ontology/wheelchair>
18954	<http://linkedgeodata.org/ontology/smoking>
12738	<http://linkedgeodata.org/ontology/operator>
10636	<http://linkedgeodata.org/ontology/contact%3Aphone>
9981	<http://linkedgeodata.org/ontology/takeaway>
9108	<http://linkedgeodata.org/ontology/addr%3Astate>
7663	<http://linkedgeodata.org/ontology/outdoor_seating>
7644	<http://linkedgeodata.org/ontology/addr%3Ahousename>
7387	<http://linkedgeodata.org/ontology/internet_access>
6985	<http://xmlns.com/foaf/0.1/fax>
6602	<http://linkedgeodata.org/ontology/capacity>
6573	<http://linkedgeodata.org/ontology/contact%3Awebsite>
5338	<http://linkedgeodata.org/ontology/addr%3Asuburb>
5116	<http://linkedgeodata.org/ontology/note>
4970	<http://linkedgeodata.org/ontology/delivery>
4798	<http://linkedgeodata.org/ontology/source%3Adate>
4402	<http://linkedgeodata.org/ontology/ncat>
3799	<http://linkedgeodata.org/ontology/building%3Alevels>
3641	<http://linkedgeodata.org/ontology/createdBy>
3528	<http://www.w3.org/1999/02/22-rdf-syntax-ns#comment>
3402	<http://linkedgeodata.org/ontology/contact%3Aemail>
3097	<http://linkedgeodata.org/ontology/internet_access%3Afee>
2962	<http://www.w3.org/2004/02/skos/core#altLabel>
2758	<http://linkedgeodata.org/ontology/wheelchair%3Adescription>
2498	<http://linkedgeodata.org/ontology/url>
2230	<http://linkedgeodata.org/ontology/microbrewery>
2207	<http://linkedgeodata.org/ontology/brand>
2153	<http://linkedgeodata.org/ontology/ele>
2053	<http://linkedgeodata.org/ontology/addr%3Aprovince>
2042	<http://linkedgeodata.org/ontology/stars>
2027	<http://linkedgeodata.org/ontology/addr%3Aplace>
1969	<http://linkedgeodata.org/ontology/level>
1776	<http://linkedgeodata.org/ontology/diet%3Avegetarian>
1766	<http://linkedgeodata.org/ontology/toilets%3Awheelchair>
1676	<http://linkedgeodata.org/ontology/contact%3Afax>
1656	<http://linkedgeodata.org/ontology/isIn>
1566	<http://linkedgeodata.org/ontology/historicalName>
1455	<http://linkedgeodata.org/ontology/addr%3Afull>
1396	<http://linkedgeodata.org/ontology/source%3Aaddr>
1346	<http://linkedgeodata.org/ontology/fixme>
1344	<http://linkedgeodata.org/ontology/start_date>
1215	<http://linkedgeodata.org/ontology/area>
1157	<http://linkedgeodata.org/ontology/cuisine%3Aja>
1116	<http://linkedgeodata.org/ontology/brewery>
1052	<http://linkedgeodata.org/ontology/diet%3Avegan>
1013	<http://linkedgeodata.org/ontology/branch>
995	<http://linkedgeodata.org/ontology/height>
933	<http://linkedgeodata.org/ontology/ref%3Abag>
912	<http://linkedgeodata.org/ontology/entrance>
872	<http://linkedgeodata.org/ontology/addr%3Aconscriptionnumber>
872	<http://linkedgeodata.org/ontology/internationalName>
795	<http://linkedgeodata.org/ontology/designation>
791	<http://linkedgeodata.org/ontology/addr%3Adistrict>
782	<http://linkedgeodata.org/ontology/biergarten>
762	<http://linkedgeodata.org/ontology/contact%3Afacebook>
762	<http://linkedgeodata.org/ontology/layer>
761	<http://linkedgeodata.org/ontology/payment%3Abitcoin>
736	<http://linkedgeodata.org/ontology/drive_in>
692	<http://linkedgeodata.org/ontology/source_ref>
689	<http://linkedgeodata.org/ontology/addr%3Aunit>
663	<http://linkedgeodata.org/ontology/wikipedia>
633	<http://linkedgeodata.org/ontology/roof%3Ashape>
629	<http://linkedgeodata.org/ontology/fhrs%3Aid>
598	<http://linkedgeodata.org/ontology/rooms>
596	<http://linkedgeodata.org/ontology/postalCode>
593	<http://xmlns.com/foaf/0.1/depiction>
586	<http://linkedgeodata.org/ontology/wifi>
544	<http://linkedgeodata.org/ontology/ref%3Avatin>
538	<http://linkedgeodata.org/ontology/addr%3Astreetnumber>
538	<http://linkedgeodata.org/ontology/dataset>
498	<http://linkedgeodata.org/ontology/source%3Aname>
494	<http://linkedgeodata.org/ontology/featuresSport>
475	<http://linkedgeodata.org/ontology/building%3Amaterial>
452	<http://linkedgeodata.org/ontology/ref%3Aruian%3Aaddr>
441	<http://linkedgeodata.org/ontology/attribution>
409	<http://linkedgeodata.org/ontology/ref>
402	<http://linkedgeodata.org/ontology/payment:credit_cards>
400	<http://linkedgeodata.org/ontology/is_in%3Acity>
398	<http://linkedgeodata.org/ontology/payment%3Acash>
378	<http://linkedgeodata.org/ontology/access>
378	<http://linkedgeodata.org/ontology/restaurant%3Atype%3Ait>
372	<http://linkedgeodata.org/ontology/survey%3Adate>
370	<http://linkedgeodata.org/ontology/FIXME>
361	<http://linkedgeodata.org/ontology/linncounty%3Aobjectid>
355	<http://linkedgeodata.org/ontology/contact%3Amobile>
343	<http://linkedgeodata.org/ontology/source%3Apostcode>
342	<http://linkedgeodata.org/ontology/addr%3Astreet%3Aname>
339	<http://linkedgeodata.org/ontology/organic>
332	<http://linkedgeodata.org/ontology/fhrs%3Arating>
329	<http://linkedgeodata.org/ontology/it%3Afvg%3Actrn%3Acode>
328	<http://linkedgeodata.org/ontology/it%3Afvg%3Actrn%3Arevision>
320	<http://linkedgeodata.org/ontology/name%3Asr-Latn>
317	<http://linkedgeodata.org/ontology/terrace>
313	<http://linkedgeodata.org/ontology/addr%3Astreet%3Atype>
312	<http://linkedgeodata.org/ontology/building%3Acolour>
305	<http://linkedgeodata.org/ontology/is_in%3Acountry>
277	<http://linkedgeodata.org/ontology/building%3Ause>
276	<http://linkedgeodata.org/ontology/nycdoitt%3Abin>
269	<http://linkedgeodata.org/ontology/payment%3Avisa>
264	<http://linkedgeodata.org/ontology/fhrs%3Arating_date>
264	<http://linkedgeodata.org/ontology/roof%3Acolour>
261	<http://linkedgeodata.org/ontology/addr%3Astreet%3Acorner>
261	<http://linkedgeodata.org/ontology/fhrs%3Alocal_authority_id>
261	<http://linkedgeodata.org/ontology/indoor>
261	<http://linkedgeodata.org/ontology/ref%3Aruian%3Abuilding>
259	<http://linkedgeodata.org/ontology/fhrs%3Aconfidence_management>
259	<http://linkedgeodata.org/ontology/fhrs%3Ahygiene>
259	<http://linkedgeodata.org/ontology/fhrs%3Astructural>
251	<http://linkedgeodata.org/ontology/contact%3Ahousenumber>
250	<http://linkedgeodata.org/ontology/short_name>
250	<http://linkedgeodata.org/ontology/smoking%3Aoutside>
248	<http://linkedgeodata.org/ontology/payment%3Amastercard>
244	<http://linkedgeodata.org/ontology/payment%3Aamerican_express>
235	<http://linkedgeodata.org/ontology/is_in%3Astate>
229	<http://linkedgeodata.org/ontology/beer_garden>
227	<http://linkedgeodata.org/ontology/opening_hours%3Akitchen>
225	<http://linkedgeodata.org/ontology/contact%3Astreet>
221	<http://linkedgeodata.org/ontology/beds>
220	<http://linkedgeodata.org/ontology/heritage>
215	<http://linkedgeodata.org/ontology/addr%3Afloor>
214	<http://linkedgeodata.org/ontology/addr%3Acity%3Ait>
208	<http://linkedgeodata.org/ontology/addr%3Acity%3Ade>
208	<http://linkedgeodata.org/ontology/payment:debit_cards>
205	<http://linkedgeodata.org/ontology/building%3Aruian%3Atype>
205	<http://linkedgeodata.org/ontology/snowmobile>
204	<http://linkedgeodata.org/ontology/wheelchair%3Adescription%3Ade>
197	<http://linkedgeodata.org/ontology/food>
194	<http://linkedgeodata.org/ontology/addr%3Asubdistrict>
193	<http://linkedgeodata.org/ontology/heritage%3Aoperator>
193	<http://linkedgeodata.org/ontology/roof%3Alevels>
193	<http://linkedgeodata.org/ontology/swimming_pool>
192	<http://linkedgeodata.org/ontology/english_menu>
191	<http://linkedgeodata.org/ontology/addr%3Ahamlet>
190	<http://linkedgeodata.org/ontology/contact%3Apostcode>
185	<http://linkedgeodata.org/ontology/source%3Ageometry>
179	<http://linkedgeodata.org/ontology/drive_through>
178	<http://linkedgeodata.org/ontology/beverage>
177	<http://linkedgeodata.org/ontology/contact%3Acity>
177	<http://linkedgeodata.org/ontology/diet%3Agluten_free>
177	<http://linkedgeodata.org/ontology/officialName>
176	<http://linkedgeodata.org/ontology/facebook>
174	<http://linkedgeodata.org/ontology/localName>
170	<http://linkedgeodata.org/ontology/addr%3Astreet%3Aprefix>
169	<http://linkedgeodata.org/ontology/payment:coins>
168	<http://linkedgeodata.org/ontology/toilets>
164	<http://linkedgeodata.org/ontology/contact%3Acountry>
162	<http://linkedgeodata.org/ontology/addr%3Apostcode%3Asource>
161	<http://linkedgeodata.org/ontology/ref%3AUrbIS>
160	<http://linkedgeodata.org/ontology/is_in%3Astate_code>
159	<http://linkedgeodata.org/ontology/chicago%3Abuilding_id>
157	<http://linkedgeodata.org/ontology/addr%3Asuite>
153	<http://linkedgeodata.org/ontology/is_in%3Acountry_code>
153	<http://linkedgeodata.org/ontology/roof%3Amaterial>
152	<http://linkedgeodata.org/ontology/bar>
148	<http://linkedgeodata.org/ontology/addr%3Astreet%3Ade>
146	<http://linkedgeodata.org/ontology/building%3Aroof>
146	<http://linkedgeodata.org/ontology/lojic%3Abgnum>
144	<http://linkedgeodata.org/ontology/addr%3Astreet%3Ait>
144	<http://linkedgeodata.org/ontology/source%3Aaddr%3Ahousenumber>
143	<http://linkedgeodata.org/ontology/comment>
139	<http://linkedgeodata.org/ontology/lbcs%3Aactivity%3Acode>
139	<http://linkedgeodata.org/ontology/lbcs%3Aactivity%3Aname>
139	<http://linkedgeodata.org/ontology/lbcs%3Afunction%3Acode>
139	<http://linkedgeodata.org/ontology/lbcs%3Afunction%3Aname>
138	<http://linkedgeodata.org/ontology/source%3Abuilding>
137	<http://linkedgeodata.org/ontology/room>
133	<http://linkedgeodata.org/ontology/import>
131	<http://linkedgeodata.org/ontology/contact%3Agoogle_plus>
130	<http://linkedgeodata.org/ontology/amenity_1>
130	<http://linkedgeodata.org/ontology/weinmobil%3Anote>
130	<http://linkedgeodata.org/ontology/weinmobil%3Aref>
127	<http://linkedgeodata.org/ontology/oven>
125	<http://linkedgeodata.org/ontology/payment:notes>
124	<http://linkedgeodata.org/ontology/building%3Awalls>
124	<http://linkedgeodata.org/ontology/horse>
124	<http://linkedgeodata.org/ontology/is_in%3Acontinent>
123	<http://linkedgeodata.org/ontology/payment%3Amaestro>
122	<http://linkedgeodata.org/ontology/addr%3Acity%3Asimc>
121	<http://linkedgeodata.org/ontology/building%3Aflats>
120	<http://linkedgeodata.org/ontology/ref%3AFR%3ASIRET>
119	<http://linkedgeodata.org/ontology/source%3Aamenity>
118	<http://linkedgeodata.org/ontology/opening_hours%3Aurl>
116	<http://linkedgeodata.org/ontology/fast_food>
114	<http://linkedgeodata.org/ontology/building%3Astructure>
114	<http://linkedgeodata.org/ontology/cuisine_1>
114	<http://linkedgeodata.org/ontology/ref%3AFR%3ACRTA>
114	<http://linkedgeodata.org/ontology/type>
112	<http://linkedgeodata.org/ontology/sym>
112	<http://linkedgeodata.org/ontology/uir_adr%3AADRESA_KOD>
108	<http://linkedgeodata.org/ontology/wall>
107	<http://linkedgeodata.org/ontology/addr%3Acounty>
104	<http://linkedgeodata.org/ontology/operational_status>
102	<http://linkedgeodata.org/ontology/buildingpart>
101	<http://linkedgeodata.org/ontology/phone%3Amobile>
100	<http://linkedgeodata.org/ontology/building%3Aheight>
100	<http://linkedgeodata.org/ontology/operator%3Atenant>
