?n	?predicate
24394	<http://www.w3.org/1999/02/22-rdf-syntax-ns#type>
5519	<http://geovocab.org/geometry#geometry>
5519	<http://linkedgeodata.org/ontology/changeset>
5519	<http://linkedgeodata.org/ontology/version>
5519	<http://purl.org/dc/terms/contributor>
5519	<http://purl.org/dc/terms/modified>
5516	<http://linkedgeodata.org/ontology/gadmSameAs>
5516	<http://www.w3.org/2003/01/geo/wgs84_pos#lat>
5516	<http://www.w3.org/2003/01/geo/wgs84_pos#long>
873	<http://linkedgeodata.org/ontology/ref>
787	<http://linkedgeodata.org/ontology/operator>
762	<http://linkedgeodata.org/ontology/source>
347	<http://linkedgeodata.org/ontology/odbl>
202	<http://www.w3.org/2000/01/rdf-schema#label>
162	<http://linkedgeodata.org/ontology/source_ref>
152	<http://linkedgeodata.org/ontology/is_in%3Acounty>
150	<http://linkedgeodata.org/ontology/is_in%3Astate_code>
92	<http://xmlns.com/foaf/0.1/phone>
77	<http://linkedgeodata.org/ontology/note>
70	<http://linkedgeodata.org/ontology/vtgis%3Aobjid>
60	<http://linkedgeodata.org/ontology/type>
40	<http://linkedgeodata.org/ontology/payment:coins>
39	<http://linkedgeodata.org/ontology/payment:telephone_cards>
38	<http://linkedgeodata.org/ontology/payment:credit_cards>
36	<http://linkedgeodata.org/ontology/lastcheck>
35	<http://linkedgeodata.org/ontology/ele>
20	<http://www.w3.org/1999/02/22-rdf-syntax-ns#comment>
13	<http://linkedgeodata.org/ontology/designation>
12	<http://linkedgeodata.org/ontology/surveillance>
11	<http://linkedgeodata.org/ontology/fireplace>
11	<http://linkedgeodata.org/ontology/internet_access>
10	<http://linkedgeodata.org/ontology/FIXME>
9	<http://linkedgeodata.org/ontology/fixme>
9	<http://linkedgeodata.org/ontology/wheelchair>
8	<http://linkedgeodata.org/ontology/layer>
8	<http://linkedgeodata.org/ontology/level>
6	<http://linkedgeodata.org/ontology/info>
5	<http://linkedgeodata.org/ontology/createdBy>
5	<http://linkedgeodata.org/ontology/is_in%3Alocality>
5	<http://linkedgeodata.org/ontology/tdd>
4	<http://linkedgeodata.org/ontology/comment>
4	<http://linkedgeodata.org/ontology/covered>
3	<http://linkedgeodata.org/ontology/brand>
3	<http://linkedgeodata.org/ontology/odbl%3Anote>
3	<http://linkedgeodata.org/ontology/shelter_type>
2	<http://linkedgeodata.org/ontology/addr%3Astreet>
2	<http://linkedgeodata.org/ontology/authentication%3Amembership_card>
2	<http://linkedgeodata.org/ontology/car>
2	<http://linkedgeodata.org/ontology/fee>
2	<http://linkedgeodata.org/ontology/information>
2	<http://linkedgeodata.org/ontology/lit>
2	<http://linkedgeodata.org/ontology/monitoring%3Aair_quality>
2	<http://linkedgeodata.org/ontology/monitoring%3Ahumidity>
2	<http://linkedgeodata.org/ontology/monitoring%3Anoise>
2	<http://linkedgeodata.org/ontology/monitoring%3Atemperature>
2	<http://linkedgeodata.org/ontology/start_date>
2	<http://linkedgeodata.org/ontology/wpt_symbol>
1	<http://linkedgeodata.org/ontology/addr%3Acity>
1	<http://linkedgeodata.org/ontology/addr%3Afloor>
1	<http://linkedgeodata.org/ontology/addr%3Ahousenumber>
1	<http://linkedgeodata.org/ontology/disused>
1	<http://linkedgeodata.org/ontology/geograph%3Aid>
1	<http://linkedgeodata.org/ontology/hiking>
1	<http://linkedgeodata.org/ontology/indoor>
1	<http://linkedgeodata.org/ontology/name%3Asr-Latn>
1	<http://linkedgeodata.org/ontology/opening_hours>
1	<http://linkedgeodata.org/ontology/parking%3Acondition%3Aboth%3Amaxstay>
1	<http://linkedgeodata.org/ontology/payment%3Aaccount_cards>
1	<http://linkedgeodata.org/ontology/payment:notes>
1	<http://linkedgeodata.org/ontology/shelter>
1	<http://linkedgeodata.org/ontology/short_name>
1	<http://linkedgeodata.org/ontology/snowmobile>
1	<http://linkedgeodata.org/ontology/source%3Aname>
1	<http://linkedgeodata.org/ontology/source%3Aref>
1	<http://linkedgeodata.org/ontology/telephone_kiosk>
1	<http://linkedgeodata.org/ontology/time>
1	<http://xmlns.com/foaf/0.1/depiction>
1	<http://xmlns.com/foaf/0.1/homepage>
