?n_s	?subject
1	<http://linkedgeodata.org/triplify/node1101853351>
1	<http://linkedgeodata.org/triplify/node1197412358>
1	<http://linkedgeodata.org/triplify/node1270789550>
1	<http://linkedgeodata.org/triplify/node1270789553>
1	<http://linkedgeodata.org/triplify/node1288126296>
1	<http://linkedgeodata.org/triplify/node1356699549>
1	<http://linkedgeodata.org/triplify/node1482587758>
1	<http://linkedgeodata.org/triplify/node1576267462>
1	<http://linkedgeodata.org/triplify/node1602061647>
1	<http://linkedgeodata.org/triplify/node185481212>
1	<http://linkedgeodata.org/triplify/node185704344>
1	<http://linkedgeodata.org/triplify/node21563401>
1	<http://linkedgeodata.org/triplify/node2292221356>
1	<http://linkedgeodata.org/triplify/node2406288540>
1	<http://linkedgeodata.org/triplify/node253518174>
1	<http://linkedgeodata.org/triplify/node253518462>
1	<http://linkedgeodata.org/triplify/node253518485>
1	<http://linkedgeodata.org/triplify/node253518588>
1	<http://linkedgeodata.org/triplify/node253518751>
1	<http://linkedgeodata.org/triplify/node253518755>
1	<http://linkedgeodata.org/triplify/node255411742>
1	<http://linkedgeodata.org/triplify/node2576105478>
1	<http://linkedgeodata.org/triplify/node2587554646>
1	<http://linkedgeodata.org/triplify/node264658627>
1	<http://linkedgeodata.org/triplify/node2719642386>
1	<http://linkedgeodata.org/triplify/node292098949>
1	<http://linkedgeodata.org/triplify/node2940534260>
1	<http://linkedgeodata.org/triplify/node298932358>
1	<http://linkedgeodata.org/triplify/node321414109>
1	<http://linkedgeodata.org/triplify/node322010114>
1	<http://linkedgeodata.org/triplify/node331256829>
1	<http://linkedgeodata.org/triplify/node539543974>
1	<http://linkedgeodata.org/triplify/node564123129>
1	<http://linkedgeodata.org/triplify/node651276622>
1	<http://linkedgeodata.org/triplify/node811082525>
1	<http://linkedgeodata.org/triplify/node849593054>
1	<http://linkedgeodata.org/triplify/node853930727>
1	<http://linkedgeodata.org/triplify/node878455567>
1	<http://linkedgeodata.org/triplify/node994574965>
1	<http://linkedgeodata.org/triplify/way106610838>
1	<http://linkedgeodata.org/triplify/way106612448>
1	<http://linkedgeodata.org/triplify/way106612449>
1	<http://linkedgeodata.org/triplify/way118493903>
1	<http://linkedgeodata.org/triplify/way118493905>
1	<http://linkedgeodata.org/triplify/way119245501>
1	<http://linkedgeodata.org/triplify/way119245548>
1	<http://linkedgeodata.org/triplify/way132197201>
1	<http://linkedgeodata.org/triplify/way133607723>
1	<http://linkedgeodata.org/triplify/way137226462>
1	<http://linkedgeodata.org/triplify/way137226463>
1	<http://linkedgeodata.org/triplify/way137226464>
1	<http://linkedgeodata.org/triplify/way145406670>
1	<http://linkedgeodata.org/triplify/way156596661>
1	<http://linkedgeodata.org/triplify/way180727296>
1	<http://linkedgeodata.org/triplify/way184063902>
1	<http://linkedgeodata.org/triplify/way185549144>
1	<http://linkedgeodata.org/triplify/way189821129>
1	<http://linkedgeodata.org/triplify/way189821455>
1	<http://linkedgeodata.org/triplify/way189821769>
1	<http://linkedgeodata.org/triplify/way189821896>
1	<http://linkedgeodata.org/triplify/way189822238>
1	<http://linkedgeodata.org/triplify/way189822374>
1	<http://linkedgeodata.org/triplify/way189822496>
1	<http://linkedgeodata.org/triplify/way189822643>
1	<http://linkedgeodata.org/triplify/way189822668>
1	<http://linkedgeodata.org/triplify/way189823089>
1	<http://linkedgeodata.org/triplify/way189839621>
1	<http://linkedgeodata.org/triplify/way189839675>
1	<http://linkedgeodata.org/triplify/way189839775>
1	<http://linkedgeodata.org/triplify/way189839788>
1	<http://linkedgeodata.org/triplify/way189840557>
1	<http://linkedgeodata.org/triplify/way189840955>
1	<http://linkedgeodata.org/triplify/way189840970>
1	<http://linkedgeodata.org/triplify/way189841159>
1	<http://linkedgeodata.org/triplify/way189849051>
1	<http://linkedgeodata.org/triplify/way189849052>
1	<http://linkedgeodata.org/triplify/way189849053>
1	<http://linkedgeodata.org/triplify/way189849054>
1	<http://linkedgeodata.org/triplify/way189849055>
1	<http://linkedgeodata.org/triplify/way189849056>
1	<http://linkedgeodata.org/triplify/way189849057>
1	<http://linkedgeodata.org/triplify/way189849058>
1	<http://linkedgeodata.org/triplify/way194825881>
1	<http://linkedgeodata.org/triplify/way220107734>
1	<http://linkedgeodata.org/triplify/way229447409>
1	<http://linkedgeodata.org/triplify/way23438860>
1	<http://linkedgeodata.org/triplify/way23438870>
1	<http://linkedgeodata.org/triplify/way23438914>
1	<http://linkedgeodata.org/triplify/way237331549>
1	<http://linkedgeodata.org/triplify/way244298751>
1	<http://linkedgeodata.org/triplify/way244399995>
1	<http://linkedgeodata.org/triplify/way248549149>
1	<http://linkedgeodata.org/triplify/way248551750>
1	<http://linkedgeodata.org/triplify/way251336448>
1	<http://linkedgeodata.org/triplify/way258564351>
1	<http://linkedgeodata.org/triplify/way258564353>
1	<http://linkedgeodata.org/triplify/way261187256>
1	<http://linkedgeodata.org/triplify/way261189037>
1	<http://linkedgeodata.org/triplify/way261189330>
1	<http://linkedgeodata.org/triplify/way261190425>
1	<http://linkedgeodata.org/triplify/way261190439>
1	<http://linkedgeodata.org/triplify/way261190736>
1	<http://linkedgeodata.org/triplify/way261190985>
1	<http://linkedgeodata.org/triplify/way261191014>
1	<http://linkedgeodata.org/triplify/way261194038>
1	<http://linkedgeodata.org/triplify/way261194040>
1	<http://linkedgeodata.org/triplify/way261194046>
1	<http://linkedgeodata.org/triplify/way261194051>
1	<http://linkedgeodata.org/triplify/way261194714>
1	<http://linkedgeodata.org/triplify/way261200481>
1	<http://linkedgeodata.org/triplify/way261200910>
1	<http://linkedgeodata.org/triplify/way261201560>
1	<http://linkedgeodata.org/triplify/way261201586>
1	<http://linkedgeodata.org/triplify/way261201965>
1	<http://linkedgeodata.org/triplify/way261202043>
1	<http://linkedgeodata.org/triplify/way261202088>
1	<http://linkedgeodata.org/triplify/way261202189>
1	<http://linkedgeodata.org/triplify/way261202266>
1	<http://linkedgeodata.org/triplify/way261202281>
1	<http://linkedgeodata.org/triplify/way261202656>
1	<http://linkedgeodata.org/triplify/way261202903>
1	<http://linkedgeodata.org/triplify/way261203495>
1	<http://linkedgeodata.org/triplify/way279567777>
1	<http://linkedgeodata.org/triplify/way279588585>
1	<http://linkedgeodata.org/triplify/way279613060>
1	<http://linkedgeodata.org/triplify/way283592994>
1	<http://linkedgeodata.org/triplify/way292044483>
1	<http://linkedgeodata.org/triplify/way293102309>
1	<http://linkedgeodata.org/triplify/way297887485>
1	<http://linkedgeodata.org/triplify/way30817092>
1	<http://linkedgeodata.org/triplify/way41064245>
1	<http://linkedgeodata.org/triplify/way41064418>
1	<http://linkedgeodata.org/triplify/way42017432>
1	<http://linkedgeodata.org/triplify/way58016797>
1	<http://linkedgeodata.org/triplify/way58018093>
1	<http://linkedgeodata.org/triplify/way58019640>
1	<http://linkedgeodata.org/triplify/way58023102>
1	<http://linkedgeodata.org/triplify/way61029266>
1	<http://linkedgeodata.org/triplify/way61039464>
1	<http://linkedgeodata.org/triplify/way61039605>
1	<http://linkedgeodata.org/triplify/way61040422>
1	<http://linkedgeodata.org/triplify/way61104131>
1	<http://linkedgeodata.org/triplify/way61195164>
1	<http://linkedgeodata.org/triplify/way61198747>
1	<http://linkedgeodata.org/triplify/way61200778>
1	<http://linkedgeodata.org/triplify/way61206968>
1	<http://linkedgeodata.org/triplify/way61207315>
1	<http://linkedgeodata.org/triplify/way61223537>
1	<http://linkedgeodata.org/triplify/way61243570>
1	<http://linkedgeodata.org/triplify/way61244042>
1	<http://linkedgeodata.org/triplify/way61244767>
1	<http://linkedgeodata.org/triplify/way61245442>
1	<http://linkedgeodata.org/triplify/way61245475>
1	<http://linkedgeodata.org/triplify/way61246475>
1	<http://linkedgeodata.org/triplify/way61247009>
1	<http://linkedgeodata.org/triplify/way61247519>
1	<http://linkedgeodata.org/triplify/way61250958>
1	<http://linkedgeodata.org/triplify/way61715703>
1	<http://linkedgeodata.org/triplify/way61802780>
1	<http://linkedgeodata.org/triplify/way61802815>
1	<http://linkedgeodata.org/triplify/way61804443>
1	<http://linkedgeodata.org/triplify/way61821296>
1	<http://linkedgeodata.org/triplify/way79441922>
1	<http://linkedgeodata.org/triplify/way87151919>
1	<http://linkedgeodata.org/triplify/way89799884>
1	<http://linkedgeodata.org/triplify/way90455238>
1	<http://linkedgeodata.org/triplify/way90455239>
