http://linkedgeodata.org/ontology/opening_hours
"n_so"	"o"
842	"24/7"
160	"Mo-Su 10:00-22:00"
144	"Mo-Su 07:00-23:00"
140	"Mo-Su 07:00-22:00"
111	"10:00-22:00"
96	"10:00-23:00"
94	"Mo-Su 10:00-23:00"
93	"11:00-23:00"
93	"Mo-Su 11:00-23:00"
76	"Mo-Su 08:00-23:00"
71	"Mo-Su 09:00-22:00"
68	"09:00-21:00"
68	"Mo-Su 08:00-22:00"
66	"Mo-Su 09:00-23:00"
62	"Mo-Su 09:00-21:00"
60	"Mo-Fr 08:30-20:00"
60	"Mo-Su 10:00-21:00"
55	"09:00-22:00"
51	"09:00-23:00"
44	"Mo-Su 08:00-20:00"
44	"Mo-Su 10:00-20:00"
43	"08:00-22:00"
42	"Mo-Su 12:00-24:00"
42	"Mo-Su 10:00-18:00"
42	"Mo-Su 07:00-22:30"
42	"08:00-23:00"
39	"Mo-Su 10:00-24:00"
39	"Mo-Su 08:00-21:00"
38	"Mo-Su 07:00-21:00"
37	"08:00-20:00"
37	"Jan 01-Apr 01: Sa-Su 10:00-16:00"
37	"10:00-24:00"
36	"Mo-Su 11:00-24:00"
36	"Mo-Su 06:00-22:00"
34	"Mo-Su 08:00-24:00"
32	"11:00-24:00"
32	"08:00-21:00"
31	"Mo-Su 09:00-18:00"
30	"Mo-Fr 08:00-20:00"
30	"11:00-22:00"
29	"12:00-23:00"
29	"Mo-Su 09:00-20:00"
29	"07:00-23:00"
28	"09:00-24:00"
28	"10:00-21:00"
28	"12:00-24:00"
28	"Mo-Su"
28	"Mo-Su 08:00-18:00"
26	"09:00-18:00"
26	"Mo-Su 07:30-22:00"
26	"Mo-Su 07:00-24:00"
23	"10:00-20:00"
23	"Mo-Fr 08:00-18:00"
22	"Mo-Su 09:00-24:00"
22	"Mo-Fr 09:00-17:00"
22	"07:00-22:00"
21	"10:00-18:00"
21	"Mo-Sa 09:00-20:00"
21	"Tu-Su 10:00-18:00"
20	"Mo-Su 11:00-22:00"
20	"Sa-Su 14:00-18:00"
20	"11:00-21:00"
20	"Mo off"
19	"Mo-Fr 07:00-21:00; Sa,Su,PH 08:00-20:00"
19	"10:00-19:00"
19	"Mo-Sa 10:00-18:00"
19	"Mo-Su 12:00-22:00"
19	"Mo-Su 11:00-18:00"
18	"10:00-17:00"
18	"Mo-Su 12:00-23:00"
18	"Mo-Su 11:00-21:00"
18	"Mo-Su 11:00-20:00"
17	"09:00-20:00"
17	"We-Su 14:00-18:00"
17	"Mo-Su 07:00-20:00"
17	"Mo-Fr 07:00-16:00"
17	"Mo-Sa 09:00-18:00"
17	"Tu-Su 08:00-15:00;Sa 08:00-12:00"
17	"Mo-Sa 09:30-20:00"
17	"00:00-24:00"
17	"11:00-20:00"
17	"Mo-Sa 08:00-20:00"
17	"Mo-Fr 09:00-18:00"
15	"Mo-Su 10:00-17:00"
15	"Mo-Fr 09:00-16:00"
15	"Mo-Su 09:00-19:00"
15	"Mo-Su 07:30-21:00"
15	"Mo-Fr 08:00-23:00; Sa,Su 10:00-23:00"
15	"Mo-Su 07:00-18:00"
15	"07:00-19:00"
14	"08:00-24:00"
14	"Mo-Su 07:00-19:00"
14	"11:00-01:00"
14	"off"
14	"Mo-Fr 08:00-19:00"
14	"07:00-21:00"
13	"summer"
13	"10:00-00:00"
13	"Mo-Fr 08:00-16:00"
13	"Mo-Fr 10:00-17:00"
13	"Mo-Su 11:00-02:00"
13	"Mo-Su 05:00-23:00"
13	"Mo-Su 09:00-01:00"
13	"Mo-Su 10:00-19:00"
13	"Mo-Su 08:00-19:00"
13	"07:00-18:00"
13	"Mo-Su 07:30-23:00"
12	"09:00-00:00"
12	"Mo-Fr 07:00-22:00; Sa,Su,PH 08:00-22:00"
12	"Mo-Su 09:00-17:00"
12	"09:00-19:00"
12	"12:00-22:00"
12	"8:00-22:00"
12	"Mo-Su 06:00-23:00"
12	"Mo-Fr 07:30-21:00; Sa,Su,PH 08:00-20:00"
12	"07:00-24:00"
12	"sunrise-sunset"
12	"Mo-Fr 07:00-23:00; Sa,Su 08:00-23:00"
12	"Mo-Fr 07:00-19:00"
12	"Mo-Sa 08:00-16:00"
12	"08:30-12:30,15:30-20:00"
12	"Tu-Su 09:00-18:00"
11	""
11	"Mo-Su 08:00-02:00"
11	"11:00-18:00"
11	"Mo-Su 14:00-18:00"
11	"Tu-Su 11:00-18:00"
11	"10:00-16:00"
11	"Mo-Su 06:00-20:00"
11	"Mo-Fr 07:00-19:00; Sa-Su 09:00-17:00"
11	"Mo-Fr 07:30-21:00; Sa,Su,PH 08:00-21:00"
10	"Mo-Sa 08:00-18:00"
10	"9:00-22:00"
10	"Mo-Fr 11:00-15:00"
10	"Mo-Su 12:00-00:00"
10	"Mo-Fr 10:00-18:00"
10	"Mo-Fr 07:00-22:00; Sa,Su,PH 08:00-21:00"
10	"Mo-Sa 07:00-20:00"
10	"8:00-23:00"
10	"Tu-Su 14:00-18:00"
10	"Mo-Fr 07:00-18:00"
10	"06:00-21:00"
10	"Mo-Su 12:00-20:00"
10	"10:00 - 22:00"
10	"Mo-Su 05:00-22:00"
9	"Mo-Fr 07:30-20:00; Sa,Su,PH 08:00-20:00"
9	"11:00-00:00"
9	"Mo-Fr 09:00-19:00"
9	"Mo-Fr 08:00-17:00"
9	"Tu-Su 13:00-18:00"
9	"Mo-Su 10:00-01:00"
9	"Mo-Fr 08:00-21:00"
9	"Mo-Sa 10:00-20:00"
9	"08:00-18:00"
9	"Mo-Fr 07:00-17:00"
9	"Mo-Su 08:30-20:00"
9	"Mo-Sa 10:00-21:00; Su 10:00-20:00"
9	"Summer"
9	"Mo-Su 07:30-20:00"
9	"We-Su 10:00-18:00"
9	"Mo-Sa 10:00-19:00"
9	"Tu-Su 10:00-19:00"
9	"Mo-Su 06:00-21:00"
9	"Mo-Fr 09:00-18:00; Sa 09:00-16:00"
