http://linkedgeodata.org/ontology/opening_hours	
"n_so"	"o"
2089	"24/7"
193	"Mo-Su 10:00-22:00"
181	"Mo-Su 11:00-23:00"
165	"Mo-Su 11:00-22:00"
119	"10:00-22:00"
96	"11:00-23:00"
95	"11:00-22:00"
84	"Mo-Su 07:00-23:00"
82	"Mo-Su 10:00-23:00"
71	"10:00-23:00"
65	"Mo-Su 10:00-21:00"
58	"Mo-Su 09:00-23:00"
55	"Mo-Su 07:00-24:00"
54	"Mo-Su 11:00-21:00"
54	"Mo-Su 11:00-24:00"
43	"Mo-Su 10:00-24:00"
42	"Mo-Su 09:00-22:00"
39	"Mo-Sa 10:00-20:00"
38	"Mo-Su 08:00-23:00"
38	"Mo-Sa 09:30-20:00"
38	"09:00-22:00"
37	"Mo-Su 09:00-21:00"
35	"Mo-Fr 08:30-20:00"
34	"Mo-Sa 09:00-20:00"
32	"11:00-24:00"
31	"Mo-Su 10:00-20:00"
29	"Mo-Su 12:00-22:00"
29	"10:00-21:00"
28	"Mo-Fr 11:00-22:00; Sa-Su 12:00-22:00"
28	"Mo-Su 07:00-22:00"
28	"Mo-Sa 11:00-20:00"
27	"Mo-Sa 11:00-21:00"
26	"Mo-Su 06:00-24:00"
26	"Mo-Su 08:00-22:00"
25	"Mo-Su 07:00-01:00"
25	"Mo-Sa 11:00-22:00; Su 12:00-22:00"
25	"11:00-21:00"
24	"Mo-Sa 10:00-21:00"
22	"Mo-Su 08:00-24:00"
22	"Mo-Su 10:30-22:00"
21	"08:00-22:00"
21	"Mo-Fr 11:00-15:00"
21	"Mo-Sa 10:00-22:00"
21	"09:00-21:00"
21	"Mo-Fr 11:00-21:00;Sa-Su 12:00-21:00"
20	"Mo-Sa 11:00-22:00"
20	"Mo-Su 11:30-22:00"
20	"08:00-23:00"
19	"Mo-Su 17:00-23:00"
18	"Mo-Su 06:00-23:00"
18	"Mo-Su 09:00-20:00"
18	"Mo-Fr 11:00-14:00"
17	"7:00-23:00"
17	"Mo-Su 11:00-20:00"
16	"Mo-Sa 08:00-20:00"
16	"Mo-Su 11:00-01:00"
16	"Su-Th 11:00-23:00; Fr-Sa 11:00-24:00"
16	"Lun-SÃƒÂ¡b 11:00-22:00 Dom 11:00-21:00"
15	"Mo-Su 07:00-00:00"
14	"Mo-Su 08:00-21:00"
14	"Mo-Su 12:00-24:00"
14	"Mo-Su 06:00-22:00"
14	"Mo-Su 10:30-21:00"
14	"Su-Th 11:00-22:00; Fr-Sa 11:00-23:00"
14	"Mo-Su 11:00-22:30"
14	"07:00-23:00"
