"n_sov"	"ratio_n_sov_tot"	"ratio_n_sov_sp"
36674	0.070654781055718	0.764392013005961
"n_sovGrp"	"ratio_n_sovGrp_stot"	"ratio_n_sovGrp_sp"	"ratio_n_sovGrp_sov"	"o"
555	0.001069242610185	0.011567801909208	0.01513333696897	"Mo-Su 11:00-23:00"
369	0.000710901843528	0.007691025053149	0.010061624038829	"Mo-Su 12:00-24:00"
302	0.000581822105002	0.006294551669515	0.008234716693025	"Mo-Su 11:00-22:00"
297	0.000572189288694	0.006190337237901	0.008098380323935	"11:00-23:00"
295	0.00056833616217	0.006148651465255	0.008043845776299	"Mo-Su 11:00-24:00"
267	0.000514392390846	0.005565050648214	0.007280362109396	"11:00-22:00"
247	0.000475861125614	0.005148192921756	0.006735016633037	"Mo-Su 10:00-22:00"
199	0.000383386089057	0.004147734378257	0.005426187489775	"Mo-Su 12:00-23:00"
163	0.00031402981164	0.003397390470632	0.004444565632328	"Mo-Su 10:00-24:00"
147	0.000283204799454	0.003063904289466	0.004008289251241	"10:00-22:00"
145	0.000279351672931	0.00302221851682	0.003953754703605	"Mo-Su 10:00-23:00"
132	0.00025430635053	0.002751260994623	0.003599280143971	"12:00-23:00"
129	0.000248526660746	0.002688732335654	0.003517478322517	"12:00-24:00"
128	0.000246600097484	0.002667889449331	0.003490211048699	"11:00-24:00"
126	0.000242746970961	0.002626203676685	0.003435676501063	"Mo-Su 12:00-22:00"
108	0.000208068832252	0.002251031722873	0.00294486557234	"Mo-Su 11:30-23:00"
100	0.000192656326159	0.00208428863229	0.002726727381796	"11:00-21:00"
95	0.000183023509851	0.001980074200675	0.002590391012707	"10:00-23:00"
88	0.00016953756702	0.001834173996415	0.002399520095981	"Mo-Fr 08:30-20:00"
85	0.000163757877236	0.001771645337446	0.002317718274527	"Mo-Su 11:00-21:00"
83	0.000159904750712	0.001729959564801	0.002263183726891	"Su-Th 11:00-22:00; Fr-Sa 11:00-23:00"
80	0.000154125060928	0.001667430905832	0.002181381905437	"12:00-22:00"
76	0.000146418807881	0.00158405936054	0.002072312810165	"Mo-Su 09:00-24:00"
75	0.00014449224462	0.001563216474217	0.002045045536347	"10:00-24:00"
65	0.000125226612004	0.001354787610988	0.001772372798168	"Mo-Su 11:30-24:00"
64	0.000123300048742	0.001333944724665	0.00174510552435	"Mo-Su 09:00-22:00"
60	0.000115593795696	0.001250573179374	0.001636036429078	"Mo-Su 09:00-23:00"
54	0.000104034416126	0.001125515861436	0.00147243278617	"Mo-Su 11:30-23:30"
53	0.000102107852865	0.001104672975114	0.001445165512352	"Mo-Su 11:00-01:00"
53	0.000102107852865	0.001104672975114	0.001445165512352	"Mo-Su 10:00-21:00"
52	0.000100181289603	0.001083830088791	0.001417898238534	"Mo-Su 11:30-22:00"
51	0.000098254726341	0.001062987202468	0.001390630964716	"Tu-Su 11:00-22:00"
48	0.000092475036557	0.001000458543499	0.001308829143262	"Mo-Sa 11:00-21:00"
47	0.000090548473295	0.000979615657176	0.001281561869444	"11:30-23:00"
46	0.000088621910033	0.000958772770853	0.001254294595626	"Mo-Su 10:00-06:00"
46	0.000088621910033	0.000958772770853	0.001254294595626	"Mo-Fr 11:00-14:00"
46	0.000088621910033	0.000958772770853	0.001254294595626	"Mo-Su 08:00-24:00"
45	0.000086695346772	0.00093792988453	0.001227027321808	"11:30-22:00"
44	0.00008476878351	0.000917086998208	0.00119976004799	"11:00-02:00"
44	0.00008476878351	0.000917086998208	0.00119976004799	"Mo-Su 10:00-01:00"
42	0.000080915656987	0.000875401225562	0.001145225500354	"11:30-24:00"
42	0.000080915656987	0.000875401225562	0.001145225500354	"Mo-Sa 11:00-22:00"
42	0.000080915656987	0.000875401225562	0.001145225500354	"17:00-24:00"
41	0.000078989093725	0.000854558339239	0.001117958226537	"Mo-Su 11:00-23:30"
41	0.000078989093725	0.000854558339239	0.001117958226537	"Mo-Su 08:00-23:00"
41	0.000078989093725	0.000854558339239	0.001117958226537	"Tu-Su 11:00-23:00"
39	0.000075135967202	0.000812872566593	0.001063423678901	"Mo-Fr 11:00-15:00"
39	0.000075135967202	0.000812872566593	0.001063423678901	"Mo-Su 11:00-02:00"
39	0.000075135967202	0.000812872566593	0.001063423678901	"17:00-23:00"
39	0.000075135967202	0.000812872566593	0.001063423678901	"Su-Th 11:00-22:00;Fr-Sa 11:00-23:00"
39	0.000075135967202	0.000812872566593	0.001063423678901	"Mo-Su 11:00-20:00"
38	0.000073209403941	0.00079202968027	0.001036156405083	"Mo-Su 11:00-06:00"
38	0.000073209403941	0.00079202968027	0.001036156405083	"12:00-00:00"
38	0.000073209403941	0.00079202968027	0.001036156405083	"Mo-Sa 11:00-23:00"
37	0.000071282840679	0.000771186793947	0.001008889131265	"Tu-Su 17:00-24:00"
37	0.000071282840679	0.000771186793947	0.001008889131265	"Mo-Su 07:00-23:00"
37	0.000071282840679	0.000771186793947	0.001008889131265	"Mo-Su 08:00-22:00"
36	0.000069356277417	0.000750343907624	0.000981621857447	"10:00-21:00"
35	0.000067429714156	0.000729501021301	0.000954354583629	"08:00-22:00"
35	0.000067429714156	0.000729501021301	0.000954354583629	"Mo-Su 11:30-14:30,17:30-23:00"
35	0.000067429714156	0.000729501021301	0.000954354583629	"11:00-20:00"
34	0.000065503150894	0.000708658134979	0.000927087309811	"Tu-Su 08:00-15:00;Sa 08:00-12:00"
