http://linkedgeodata.org/ontology/School
"n_sp"	"ratio_n_sp_stot"	"p"
680169	1	"http://linkedgeodata.org/ontology/changeset"
680169	1	"http://linkedgeodata.org/ontology/version"
349368	0.5136488137507	"http://linkedgeodata.org/ontology/gadmSameAs"
156100	0.229501785585641	"http://linkedgeodata.org/ontology/source"
153009	0.22495732678202	"http://linkedgeodata.org/ontology/gnis%3Afeature_id"
152096	0.22361501332757	"http://linkedgeodata.org/ontology/ele"
150543	0.221331757254447	"http://linkedgeodata.org/ontology/gnis%3Acreated"
150337	0.221028891349062	"http://linkedgeodata.org/ontology/gnis%3Acounty_id"
149405	0.21965864366062	"http://linkedgeodata.org/ontology/gnis%3Astate_id"
94207	0.138505283245782	"http://linkedgeodata.org/ontology/addr%3Astreet"
67570	0.099342957412055	"http://linkedgeodata.org/ontology/addr%3Ahousenumber"
64151	0.094316265516364	"http://linkedgeodata.org/ontology/addr%3Acity"
38021	0.055899342663367	"http://linkedgeodata.org/ontology/note"
34443	0.05063888533585	"http://linkedgeodata.org/ontology/source_ref"
33910	0.049855256561237	"http://linkedgeodata.org/ontology/operator"
28490	0.041886648759352	"http://linkedgeodata.org/ontology/school%3AFR"
27940	0.041078026196431	"http://linkedgeodata.org/ontology/note%3Aja"
26735	0.039306407672211	"http://linkedgeodata.org/ontology/KSJ2%3APubFacAdmin"
26712	0.039272592546852	"http://linkedgeodata.org/ontology/KSJ2%3AADS"
25594	0.037628883409858	"http://linkedgeodata.org/ontology/operator%3Atype"
23365	0.034351756695762	"http://linkedgeodata.org/ontology/ref%3AUAI"
22497	0.033075603269188	"http://linkedgeodata.org/ontology/KSJ2%3AAdminArea"
21321	0.031346621207376	"http://linkedgeodata.org/ontology/addr%3Acountry"
18473	0.027159426554283	"http://linkedgeodata.org/ontology/source%3Adate"
15952	0.023452994770417	"http://linkedgeodata.org/ontology/isced%3Alevel"
14519	0.021346165438295	"http://linkedgeodata.org/ontology/SEP%3ACLAVEESC"
12204	0.017942599559815	"http://linkedgeodata.org/ontology/gnis%3Aedited"
11455	0.0168414026514	"http://linkedgeodata.org/ontology/building%3Alevels"
10989	0.016156278807179	"http://linkedgeodata.org/ontology/toilets"
10949	0.016097469893512	"http://linkedgeodata.org/ontology/capacity%3Apupils"
http://linkedgeodata.org/ontology/Hedge
"n_sp"	"ratio_n_sp_stot"	"p"
633908	1	"http://linkedgeodata.org/ontology/changeset"
633908	1	"http://linkedgeodata.org/ontology/version"
134375	0.211978709844331	"http://linkedgeodata.org/ontology/source"
10289	0.016231061920657	"http://linkedgeodata.org/ontology/height"
8014	0.012642213065618	"http://linkedgeodata.org/ontology/area"
4226	0.006666582532481	"http://linkedgeodata.org/ontology/gst%3Afeat_id"
2443	0.003853871539719	"http://linkedgeodata.org/ontology/createdBy"
1721	0.002714905001988	"http://linkedgeodata.org/ontology/width"
522	0.000823463341684	"http://linkedgeodata.org/ontology/layer"
491	0.000774560346296	"http://linkedgeodata.org/ontology/source%3Adate"
440	0.000694107031304	"http://linkedgeodata.org/ontology/note"
372	0.000586835944648	"http://linkedgeodata.org/ontology/leaf_type"
362	0.000571060784846	"http://linkedgeodata.org/ontology/species"
338	0.00053320040132	"http://linkedgeodata.org/ontology/project%3Aeurosha_2012"
302	0.000476409826032	"http://linkedgeodata.org/ontology/leaf_cycle"
