http://linkedgeodata.org/ontology/Restaurant
"n_sp"	"ratio_n_sp_stot"	"p"
519059	1	"http://linkedgeodata.org/ontology/version"
519059	1	"http://linkedgeodata.org/ontology/changeset"
419818	0.808805935356096	"http://linkedgeodata.org/ontology/gadmSameAs"
233093	0.449068410334856	"http://linkedgeodata.org/ontology/cuisine"
147448	0.284067899795592	"http://linkedgeodata.org/ontology/addr%3Astreet"
135623	0.261286289227236	"http://linkedgeodata.org/ontology/addr%3Ahousenumber"
115099	0.22174550484627	"http://linkedgeodata.org/ontology/addr%3Acity"
59345	0.114331896759328	"http://linkedgeodata.org/ontology/source"
48300	0.093053005535016	"http://linkedgeodata.org/ontology/addr%3Acountry"
47876	0.0922361427121	"http://linkedgeodata.org/ontology/opening_hours"
38502	0.074176538697913	"http://linkedgeodata.org/ontology/wheelchair"
18954	0.036516080060263	"http://linkedgeodata.org/ontology/smoking"
12738	0.024540562826191	"http://linkedgeodata.org/ontology/operator"
10636	0.02049092685032	"http://linkedgeodata.org/ontology/contact%3Aphone"
9981	0.019229027913975	"http://linkedgeodata.org/ontology/takeaway"
9108	0.017547138186603	"http://linkedgeodata.org/ontology/addr%3Astate"
7663	0.014763254273599	"http://linkedgeodata.org/ontology/outdoor_seating"
7644	0.014726649571629	"http://linkedgeodata.org/ontology/addr%3Ahousename"
7387	0.014231522813399	"http://linkedgeodata.org/ontology/internet_access"
6602	0.012719170653047	"http://linkedgeodata.org/ontology/capacity"
6573	0.012663300318461	"http://linkedgeodata.org/ontology/contact%3Awebsite"
5338	0.010283994690392	"http://linkedgeodata.org/ontology/addr%3Asuburb"
5116	0.009856297646318	"http://linkedgeodata.org/ontology/note"
4970	0.009575019410125	"http://linkedgeodata.org/ontology/delivery"
4798	0.009243650529131	"http://linkedgeodata.org/ontology/source%3Adate"
4402	0.008480731477539	"http://linkedgeodata.org/ontology/ncat"
3799	0.007319013830798	"http://linkedgeodata.org/ontology/building%3Alevels"
3641	0.007014616835466	"http://linkedgeodata.org/ontology/createdBy"
3402	0.006554168215945	"http://linkedgeodata.org/ontology/contact%3Aemail"
3097	0.005966566421158	"http://linkedgeodata.org/ontology/internet_access%3Afee"
2758	0.005313461475478	"http://linkedgeodata.org/ontology/wheelchair%3Adescription"
2498	0.004812555027463	"http://linkedgeodata.org/ontology/url"
2230	0.004296236073356	"http://linkedgeodata.org/ontology/microbrewery"
2207	0.004251925118339	"http://linkedgeodata.org/ontology/brand"
2153	0.004147890702213	"http://linkedgeodata.org/ontology/ele"
2053	0.003955234376054	"http://linkedgeodata.org/ontology/addr%3Aprovince"
2042	0.003934042180176	"http://linkedgeodata.org/ontology/stars"
2027	0.003905143731252	"http://linkedgeodata.org/ontology/addr%3Aplace"
1969	0.00379340306208	"http://linkedgeodata.org/ontology/level"
1776	0.003421576352592	"http://linkedgeodata.org/ontology/diet%3Avegetarian"
1766	0.003402310719976	"http://linkedgeodata.org/ontology/toilets%3Awheelchair"
1676	0.003228920026432	"http://linkedgeodata.org/ontology/contact%3Afax"
1656	0.003190388761201	"http://linkedgeodata.org/ontology/isIn"
1566	0.003016998067657	"http://linkedgeodata.org/ontology/historicalName"
1455	0.00280314954562	"http://linkedgeodata.org/ontology/addr%3Afull"
1396	0.002689482313186	"http://linkedgeodata.org/ontology/source%3Aaddr"
1346	0.002593154150106	"http://linkedgeodata.org/ontology/fixme"
1344	0.002589301023583	"http://linkedgeodata.org/ontology/start_date"
1215	0.002340774362837	"http://linkedgeodata.org/ontology/area"
1157	0.002229033693665	"http://linkedgeodata.org/ontology/cuisine%3Aja"
1116	0.00215004459994	"http://linkedgeodata.org/ontology/brewery"
1052	0.002026744551197	"http://linkedgeodata.org/ontology/diet%3Avegan"
1013	0.001951608583995	"http://linkedgeodata.org/ontology/branch"
995	0.001916930445287	"http://linkedgeodata.org/ontology/height"
933	0.001797483523068	"http://linkedgeodata.org/ontology/ref%3Abag"
912	0.001757025694574	"http://linkedgeodata.org/ontology/entrance"
872	0.00167996316411	"http://linkedgeodata.org/ontology/internationalName"
872	0.00167996316411	"http://linkedgeodata.org/ontology/addr%3Aconscriptionnumber"
795	0.001531617792968	"http://linkedgeodata.org/ontology/designation"
791	0.001523911539921	"http://linkedgeodata.org/ontology/addr%3Adistrict"
782	0.001506572470567	"http://linkedgeodata.org/ontology/biergarten"
762	0.001468041205335	"http://linkedgeodata.org/ontology/contact%3Afacebook"
762	0.001468041205335	"http://linkedgeodata.org/ontology/layer"
761	0.001466114642073	"http://linkedgeodata.org/ontology/payment%3Abitcoin"
736	0.001417950560534	"http://linkedgeodata.org/ontology/drive_in"
692	0.001333181777023	"http://linkedgeodata.org/ontology/source_ref"
689	0.001327402087239	"http://linkedgeodata.org/ontology/addr%3Aunit"
663	0.001277311442437	"http://linkedgeodata.org/ontology/wikipedia"
633	0.001219514544589	"http://linkedgeodata.org/ontology/roof%3Ashape"
629	0.001211808291543	"http://linkedgeodata.org/ontology/fhrs%3Aid"
598	0.001152084830434	"http://linkedgeodata.org/ontology/rooms"
596	0.00114823170391	"http://linkedgeodata.org/ontology/postalCode"
586	0.001128966071294	"http://linkedgeodata.org/ontology/wifi"
544	0.001048050414307	"http://linkedgeodata.org/ontology/ref%3Avatin"
538	0.001036491034738	"http://linkedgeodata.org/ontology/addr%3Astreetnumber"
538	0.001036491034738	"http://linkedgeodata.org/ontology/dataset"
498	0.000959428504274	"http://linkedgeodata.org/ontology/source%3Aname"
483	0.00093053005535	"http://linkedgeodata.org/ontology/featuresSport"
475	0.000915117549257	"http://linkedgeodata.org/ontology/building%3Amaterial"
452	0.000870806594241	"http://linkedgeodata.org/ontology/ref%3Aruian%3Aaddr"
http://linkedgeodata.org/ontology/Cafe
"n_sp"	"ratio_n_sp_stot"	"p"
