"n_sp"	"ratio_n_sp_stot"	"p"
1	0.000001926563262	"http://linkedgeodata.org/ontology/DEP"
2	0.000003853126523	"http://linkedgeodata.org/ontology/DGFIP%3Atype"
1	0.000001926563262	"http://linkedgeodata.org/ontology/DeKalb%3Aid"
1	0.000001926563262	"http://linkedgeodata.org/ontology/Diaper"
2	0.000003853126523	"http://linkedgeodata.org/ontology/Direcci%C3%B3n"
1	0.000001926563262	"http://linkedgeodata.org/ontology/Drinks"
1	0.000001926563262	"http://linkedgeodata.org/ontology/DriveID"
1	0.000001926563262	"http://linkedgeodata.org/ontology/dailyinfo%3Avenue_id"
1	0.000001926563262	"http://linkedgeodata.org/ontology/damage_status"
9	0.000017339069354	"http://linkedgeodata.org/ontology/dance%3Astyle"
3	0.000005779689785	"http://linkedgeodata.org/ontology/dance%3Ateaching"
2	0.000003853126523	"http://linkedgeodata.org/ontology/data_zmiany"
538	0.001036491034738	"http://linkedgeodata.org/ontology/dataset"
30	0.000057796897848	"http://linkedgeodata.org/ontology/date"
1	0.000001926563262	"http://linkedgeodata.org/ontology/date_off"
2	0.000003853126523	"http://linkedgeodata.org/ontology/date_on"
6	0.00001155937957	"http://linkedgeodata.org/ontology/date_start"
8	0.000015412506093	"http://linkedgeodata.org/ontology/day_off"
2	0.000003853126523	"http://linkedgeodata.org/ontology/day_on"
1	0.000001926563262	"http://linkedgeodata.org/ontology/db%3Aoutdoor"
2	0.000003853126523	"http://linkedgeodata.org/ontology/dcgis%3Acapturedate"
38	0.000073209403941	"http://linkedgeodata.org/ontology/dcgis%3Acaptureyear"
5	0.000009632816308	"http://linkedgeodata.org/ontology/dcgis%3Adataset"
7	0.000013485942831	"http://linkedgeodata.org/ontology/dcgis%3Afeaturecode"
40	0.000077062530464	"http://linkedgeodata.org/ontology/dcgis%3Agis_id"
93	0.000179170383328	"http://linkedgeodata.org/ontology/dcgis%3Alot"
2	0.000003853126523	"http://linkedgeodata.org/ontology/dcgis%3Apubdate"
93	0.000179170383328	"http://linkedgeodata.org/ontology/dcgis%3Asquare"
1	0.000001926563262	"http://linkedgeodata.org/ontology/de%3Aname"
1	0.000001926563262	"http://linkedgeodata.org/ontology/deli"
1	0.000001926563262	"http://linkedgeodata.org/ontology/deliver"
1	0.000001926563262	"http://linkedgeodata.org/ontology/delivered"
1	0.000001926563262	"http://linkedgeodata.org/ontology/deliveries"
1	0.000001926563262	"http://linkedgeodata.org/ontology/delivering"
2	0.000003853126523	"http://linkedgeodata.org/ontology/delivers"
4970	0.009575019410125	"http://linkedgeodata.org/ontology/delivery"
3	0.000005779689785	"http://linkedgeodata.org/ontology/delivery%3Aconditional"
3	0.000005779689785	"http://linkedgeodata.org/ontology/delivery%3Acontact%3Aphone"
3	0.000005779689785	"http://linkedgeodata.org/ontology/delivery%3Amin_cost"
4	0.000007706253046	"http://linkedgeodata.org/ontology/delivery_hours"
3	0.000005779689785	"http://linkedgeodata.org/ontology/delivery_service"
1	0.000001926563262	"http://linkedgeodata.org/ontology/delivery_times"
1	0.000001926563262	"http://linkedgeodata.org/ontology/delvivery"
1	0.000001926563262	"http://linkedgeodata.org/ontology/description%3Abg"
1	0.000001926563262	"http://linkedgeodata.org/ontology/description%3Acs"
3	0.000005779689785	"http://linkedgeodata.org/ontology/description%3Acuisine"
1	0.000001926563262	"http://linkedgeodata.org/ontology/description%3Acz"
94	0.00018109694659	"http://linkedgeodata.org/ontology/description%3Ade"
27	0.000052017208063	"http://linkedgeodata.org/ontology/description%3Aen"
3	0.000005779689785	"http://linkedgeodata.org/ontology/description%3Aes"
1	0.000001926563262	"http://linkedgeodata.org/ontology/description%3Afi"
1	0.000001926563262	"http://linkedgeodata.org/ontology/description%3Afloor"
8	0.000015412506093	"http://linkedgeodata.org/ontology/description%3Afr"
2	0.000003853126523	"http://linkedgeodata.org/ontology/description%3Ahistoric"
1	0.000001926563262	"http://linkedgeodata.org/ontology/description%3Ahu"
12	0.000023118759139	"http://linkedgeodata.org/ontology/description%3Ait"
1	0.000001926563262	"http://linkedgeodata.org/ontology/description%3Anl"
1	0.000001926563262	"http://linkedgeodata.org/ontology/description%3Apayment%3Afr"
2	0.000003853126523	"http://linkedgeodata.org/ontology/description%3Apl"
3	0.000005779689785	"http://linkedgeodata.org/ontology/description%3Aru"
1	0.000001926563262	"http://linkedgeodata.org/ontology/description%3Aseating"
1	0.000001926563262	"http://linkedgeodata.org/ontology/description%3Ashop"
1	0.000001926563262	"http://linkedgeodata.org/ontology/description%3Asv"
27	0.000052017208063	"http://linkedgeodata.org/ontology/description2"
50	0.00009632816308	"http://linkedgeodata.org/ontology/description_1"
19	0.00003660470197	"http://linkedgeodata.org/ontology/description_2"
5	0.000009632816308	"http://linkedgeodata.org/ontology/description_3"
3	0.000005779689785	"http://linkedgeodata.org/ontology/description_4"
1	0.000001926563262	"http://linkedgeodata.org/ontology/descrption%3Aen"
1	0.000001926563262	"http://linkedgeodata.org/ontology/desde"
795	0.001531617792968	"http://linkedgeodata.org/ontology/designation"
1	0.000001926563262	"http://linkedgeodata.org/ontology/dgfip_type"
33	0.000063576587633	"http://linkedgeodata.org/ontology/diaper"
1	0.000001926563262	"http://linkedgeodata.org/ontology/diaper%3Afemale"
2	0.000003853126523	"http://linkedgeodata.org/ontology/diaper%3Amale"
80	0.000154125060928	"http://linkedgeodata.org/ontology/diet"
1	0.000001926563262	"http://linkedgeodata.org/ontology/diet%3Aayurvedic"
1	0.000001926563262	"http://linkedgeodata.org/ontology/diet%3Adairy"
6	0.00001155937957	"http://linkedgeodata.org/ontology/diet%3Adairy_free"
2	0.000003853126523	"http://linkedgeodata.org/ontology/diet%3Afruitarian"
177	0.000341001697302	"http://linkedgeodata.org/ontology/diet%3Agluten_free"
31	0.000059723461109	"http://linkedgeodata.org/ontology/diet%3Ahalal"
1	0.000001926563262	"http://linkedgeodata.org/ontology/diet%3Ajain_vegetarian"
77	0.000148345371143	"http://linkedgeodata.org/ontology/diet%3Akosher"
23	0.000044310955017	"http://linkedgeodata.org/ontology/diet%3Alacto_vegetarian"
16	0.000030825012186	"http://linkedgeodata.org/ontology/diet%3Alactose_free"
2	0.000003853126523	"http://linkedgeodata.org/ontology/diet%3Amacrobiotic"
1	0.000001926563262	"http://linkedgeodata.org/ontology/diet%3Ameat"
4	0.000007706253046	"http://linkedgeodata.org/ontology/diet%3Aovo_vegetarian"
23	0.000044310955017	"http://linkedgeodata.org/ontology/diet%3Apescetarian"
14	0.000026971885662	"http://linkedgeodata.org/ontology/diet%3Araw"
1	0.000001926563262	"http://linkedgeodata.org/ontology/diet%3Asoy_free"
1052	0.002026744551197	"http://linkedgeodata.org/ontology/diet%3Avegan"
1	0.000001926563262	"http://linkedgeodata.org/ontology/diet%3Avegetariam"
1776	0.003421576352592	"http://linkedgeodata.org/ontology/diet%3Avegetarian"
1	0.000001926563262	"http://linkedgeodata.org/ontology/diet%3Avegeterian"
1	0.000001926563262	"http://linkedgeodata.org/ontology/diet_1"
1	0.000001926563262	"http://linkedgeodata.org/ontology/diet_2"
3	0.000005779689785	"http://linkedgeodata.org/ontology/dine_in"
2	0.000003853126523	"http://linkedgeodata.org/ontology/disabled"
1	0.000001926563262	"http://linkedgeodata.org/ontology/disabled%3Adescription"
1	0.000001926563262	"http://linkedgeodata.org/ontology/disaster%3Ashelter_type"
2	0.000003853126523	"http://linkedgeodata.org/ontology/discontinued"
1	0.000001926563262	"http://linkedgeodata.org/ontology/discount%3Astudents"
7	0.000013485942831	"http://linkedgeodata.org/ontology/dispensing"
2	0.000003853126523	"http://linkedgeodata.org/ontology/distance"
1	0.000001926563262	"http://linkedgeodata.org/ontology/distillery"
1	0.000001926563262	"http://linkedgeodata.org/ontology/district"
97	0.000186876636375	"http://linkedgeodata.org/ontology/disused"
30	0.000057796897848	"http://linkedgeodata.org/ontology/disused%3Aamenity"
1	0.000001926563262	"http://linkedgeodata.org/ontology/disused%3Aamenity%3Aname"
1	0.000001926563262	"http://linkedgeodata.org/ontology/disused%3Abrothel%3Acontact_bar"
1	0.000001926563262	"http://linkedgeodata.org/ontology/disused%3Acontact%3Awebsite"
2	0.000003853126523	"http://linkedgeodata.org/ontology/disused%3Acuisine"
1	0.000001926563262	"http://linkedgeodata.org/ontology/disused%3Aman_made"
22	0.000042384391755	"http://linkedgeodata.org/ontology/disused%3Aname"
1	0.000001926563262	"http://linkedgeodata.org/ontology/disused%3Aname2"
1	0.000001926563262	"http://linkedgeodata.org/ontology/disused%3Aold_name"
3	0.000005779689785	"http://linkedgeodata.org/ontology/disused%3Aopening_hours"
1	0.000001926563262	"http://linkedgeodata.org/ontology/disused%3Aopening_hours%3Aurl"
2	0.000003853126523	"http://linkedgeodata.org/ontology/disused%3Aphone"
8	0.000015412506093	"http://linkedgeodata.org/ontology/disused%3Arailway"
3	0.000005779689785	"http://linkedgeodata.org/ontology/disused%3Arestaurant"
5	0.000009632816308	"http://linkedgeodata.org/ontology/disused%3Ashop"
1	0.000001926563262	"http://linkedgeodata.org/ontology/disused%3Asmoking"
1	0.000001926563262	"http://linkedgeodata.org/ontology/disused%3Atourism"
13	0.000025045322401	"http://linkedgeodata.org/ontology/disused%3Awebsite"
1	0.000001926563262	"http://linkedgeodata.org/ontology/diverse"
1	0.000001926563262	"http://linkedgeodata.org/ontology/divipola"
2	0.000003853126523	"http://linkedgeodata.org/ontology/dnt%3Aclassification"
1	0.000001926563262	"http://linkedgeodata.org/ontology/dnt%3Adiscount"
2	0.000003853126523	"http://linkedgeodata.org/ontology/dnt%3Aiid"
25	0.00004816408154	"http://linkedgeodata.org/ontology/dog"
38	0.000073209403941	"http://linkedgeodata.org/ontology/dogs"
1	0.000001926563262	"http://linkedgeodata.org/ontology/dontimport%3Afhrs%3Aaddrline1"
1	0.000001926563262	"http://linkedgeodata.org/ontology/dontimport%3Afhrs%3Aaddrline2"
