"n_sp"	"ratio_n_sp_stot"
47978	0.092432652164783
"n_spGrp"	"ratio_n_spGrp_stot"	"ratio_n_spGrp_sp"	"o"
1067	0.002055643000121	0.022239359706532	"24/7"
555	0.001069242610185	0.011567801909208	"Mo-Su 11:00-23:00"
369	0.000710901843528	0.007691025053149	"Mo-Su 12:00-24:00"
302	0.000581822105002	0.006294551669515	"Mo-Su 11:00-22:00"
297	0.000572189288694	0.006190337237901	"11:00-23:00"
295	0.00056833616217	0.006148651465255	"Mo-Su 11:00-24:00"
267	0.000514392390846	0.005565050648214	"11:00-22:00"
247	0.000475861125614	0.005148192921756	"Mo-Su 10:00-22:00"
199	0.000383386089057	0.004147734378257	"Mo-Su 12:00-23:00"
163	0.00031402981164	0.003397390470632	"Mo-Su 10:00-24:00"
147	0.000283204799454	0.003063904289466	"10:00-22:00"
145	0.000279351672931	0.00302221851682	"Mo-Su 10:00-23:00"
132	0.00025430635053	0.002751260994623	"12:00-23:00"
129	0.000248526660746	0.002688732335654	"12:00-24:00"
128	0.000246600097484	0.002667889449331	"11:00-24:00"
126	0.000242746970961	0.002626203676685	"Mo-Su 12:00-22:00"
123	0.000236967281176	0.002563675017716	"Mo off"
108	0.000208068832252	0.002251031722873	"Mo-Su 11:30-23:00"
108	0.000208068832252	0.002251031722873	"Mo-Su"
100	0.000192656326159	0.00208428863229	"11:00-21:00"
95	0.000183023509851	0.001980074200675	"10:00-23:00"
94	0.00018109694659	0.001959231314352	"Tu off"
88	0.00016953756702	0.001834173996415	"Mo-Fr 08:30-20:00"
85	0.000163757877236	0.001771645337446	"Mo-Su 11:00-21:00"
83	0.000159904750712	0.001729959564801	"Su-Th 11:00-22:00; Fr-Sa 11:00-23:00"
82	0.000157978187451	0.001709116678478	"Tu-Su"
80	0.000154125060928	0.001667430905832	"12:00-22:00"
76	0.000146418807881	0.00158405936054	"Mo-Su 09:00-24:00"
75	0.00014449224462	0.001563216474217	"10:00-24:00"
65	0.000125226612004	0.001354787610988	"Mo-Su 11:30-24:00"
64	0.000123300048742	0.001333944724665	"Mo-Su 09:00-22:00"
62	0.000119446922219	0.00129225895202	"Mo-Su 11:00+"
60	0.000115593795696	0.001250573179374	"closed"
60	0.000115593795696	0.001250573179374	"Mo-Su 09:00-23:00"
59	0.000113667232434	0.001229730293051	"We off"
54	0.000104034416126	0.001125515861436	"Mo-Su 11:30-23:30"
53	0.000102107852865	0.001104672975114	"Mo-Su 11:00-01:00"
53	0.000102107852865	0.001104672975114	"11:00+"
53	0.000102107852865	0.001104672975114	"Mo-Su 10:00-21:00"
52	0.000100181289603	0.001083830088791	"Mo-Su 11:30-22:00"
51	0.000098254726341	0.001062987202468	"Tu-Su 11:00-22:00"
48	0.000092475036557	0.001000458543499	"Mo-Sa 11:00-21:00"
47	0.000090548473295	0.000979615657176	"11:30-23:00"
46	0.000088621910033	0.000958772770853	"Mo-Su 10:00-06:00"
46	0.000088621910033	0.000958772770853	"Mo-Fr 11:00-14:00"
46	0.000088621910033	0.000958772770853	"Mo-Su 08:00-24:00"
45	0.000086695346772	0.00093792988453	"11:30-22:00"
44	0.00008476878351	0.000917086998208	"11:00-02:00"
44	0.00008476878351	0.000917086998208	"Mo-Su 10:00-01:00"
42	0.000080915656987	0.000875401225562	"11:30-24:00"
42	0.000080915656987	0.000875401225562	"Mo-Sa 11:00-22:00"
42	0.000080915656987	0.000875401225562	"17:00-24:00"
41	0.000078989093725	0.000854558339239	"Mo-Su 11:00-23:30"
41	0.000078989093725	0.000854558339239	"Mo-Su 08:00-23:00"
41	0.000078989093725	0.000854558339239	"Tu-Su 11:00-23:00"
39	0.000075135967202	0.000812872566593	"Mo-Fr 11:00-15:00"
39	0.000075135967202	0.000812872566593	"Mo-Su 11:00-02:00"
39	0.000075135967202	0.000812872566593	"17:00-23:00"
39	0.000075135967202	0.000812872566593	"Su-Th 11:00-22:00;Fr-Sa 11:00-23:00"
39	0.000075135967202	0.000812872566593	"Mo-Su 11:00-20:00"
38	0.000073209403941	0.00079202968027	"Mo-Su 11:00-06:00"
38	0.000073209403941	0.00079202968027	"12:00-00:00"
38	0.000073209403941	0.00079202968027	"Mo-Sa 11:00-23:00"
38	0.000073209403941	0.00079202968027	"We-Su"
38	0.000073209403941	0.00079202968027	"17:00+"
37	0.000071282840679	0.000771186793947	"Tu-Su 17:00-24:00"
37	0.000071282840679	0.000771186793947	"Mo-Su 07:00-23:00"
37	0.000071282840679	0.000771186793947	"Mo-Su 08:00-22:00"
36	0.000069356277417	0.000750343907624	"off"
36	0.000069356277417	0.000750343907624	"10:00-21:00"
35	0.000067429714156	0.000729501021301	"08:00-22:00"
35	0.000067429714156	0.000729501021301	"Mo-Su 11:30-14:30,17:30-23:00"
35	0.000067429714156	0.000729501021301	"Mo-Sa"
35	0.000067429714156	0.000729501021301	"11:00-20:00"
34	0.000065503150894	0.000708658134979	"Tu-Su 08:00-15:00;Sa 08:00-12:00"
34	0.000065503150894	0.000708658134979	"Mo-Su 17:00+"
34	0.000065503150894	0.000708658134979	"Mo-Su 17:00-23:00"
34	0.000065503150894	0.000708658134979	"Mo-Fr 11:30-14:00"
33	0.000063576587633	0.000687815248656	"09:00-22:00"
33	0.000063576587633	0.000687815248656	"Mo-Su 09:00-21:00"
33	0.000063576587633	0.000687815248656	"Tu-Su 11:00+"
33	0.000063576587633	0.000687815248656	"Tu-Su 12:00-22:00"
32	0.000061650024371	0.000666972362333	"Mo-Sa 10:00-22:00"
31	0.000059723461109	0.00064612947601	"Mo-Su 12:00-00:00"
31	0.000059723461109	0.00064612947601	"Mo-Su 12:00-01:00"
31	0.000059723461109	0.00064612947601	"Mo-Su 07:00-22:00"
31	0.000059723461109	0.00064612947601	"Mo-Fr 08:00-15:00"
31	0.000059723461109	0.00064612947601	"09:00-23:00"
30	0.000057796897848	0.000625286589687	"Tu-Su 17:00+"
30	0.000057796897848	0.000625286589687	"12:00-21:00"
30	0.000057796897848	0.000625286589687	"Mo-Sa 12:00-22:00"
30	0.000057796897848	0.000625286589687	"Tu-Su 11:30-22:00"
29	0.000055870334586	0.000604443703364	"Mo-Su 17:00-24:00"
29	0.000055870334586	0.000604443703364	"08:00-23:00"
29	0.000055870334586	0.000604443703364	"Th off"
29	0.000055870334586	0.000604443703364	"09:00-24:00"
29	0.000055870334586	0.000604443703364	"Tu-Su 17:00-23:00"
29	0.000055870334586	0.000604443703364	"07:00-22:00"
28	0.000053943771325	0.000583600817041	"Mo-Su 10:00+"
28	0.000053943771325	0.000583600817041	"11:00-01:00"
28	0.000053943771325	0.000583600817041	"12:00+"
28	0.000053943771325	0.000583600817041	"Tu-Su 10:00-22:00"
27	0.000052017208063	0.000562757930718	"Mo-Fr 08:00-16:00"
27	0.000052017208063	0.000562757930718	"Mo-Su 09:00-01:00"
27	0.000052017208063	0.000562757930718	"Mo-Su 11:30-15:00,17:30-23:30"
27	0.000052017208063	0.000562757930718	"Su-Th 11:00-21:00; Fr-Sa 11:00-22:00"
27	0.000052017208063	0.000562757930718	"17:00-22:00"
27	0.000052017208063	0.000562757930718	"Mo-Sa 11:00-20:00"
27	0.000052017208063	0.000562757930718	"Mo-Su 18:00-24:00"
26	0.000050090644801	0.000541915044395	"07:00-23:00"
26	0.000050090644801	0.000541915044395	"Mo-Fr 11:00-22:00; Sa-Su 12:00-22:00"
26	0.000050090644801	0.000541915044395	"11:00-22:30"
26	0.000050090644801	0.000541915044395	"Mo-Su 11:00-22:30"
26	0.000050090644801	0.000541915044395	"10:00-01:00"
25	0.00004816408154	0.000521072158072	"Tu-Su 11:00-24:00"
25	0.00004816408154	0.000521072158072	"Mo-Su 10:30-22:00"
25	0.00004816408154	0.000521072158072	"Mo-Su 11:00-00:00"
24	0.000046237518278	0.00050022927175	"Mo-Su 12:00+"
24	0.000046237518278	0.00050022927175	"11:30-23:30"
24	0.000046237518278	0.00050022927175	"Mo-Su 11:30-14:30,17:30-23:30"
24	0.000046237518278	0.00050022927175	"08:00-24:00"
24	0.000046237518278	0.00050022927175	"Mo-Th 11:30-14:30, 18:30-22:30; Fr-Sa 11:30-14:30, 18:30-23:00; Su 11:30-14:30, 18:30-22:30"
23	0.000044310955017	0.000479386385427	"Mo-Su 12:00-06:00"
23	0.000044310955017	0.000479386385427	"11:00-00:00"
23	0.000044310955017	0.000479386385427	"Tu-Su 12:00-23:00"
23	0.000044310955017	0.000479386385427	"10:00+"
23	0.000044310955017	0.000479386385427	"Mo-Su 17:00-22:00"
22	0.000042384391755	0.000458543499104	"11:00-21:30"
22	0.000042384391755	0.000458543499104	"Mo-Th 11:00-22:00; Fr-Sa 11:00-23:00; Su 12:00-22:00"
22	0.000042384391755	0.000458543499104	"Mo-Fr 07:00-15:00"
22	0.000042384391755	0.000458543499104	"Mo-Th 11:00-22:00; Fr-Sa 11:00-23:00; Su 11:00-22:00"
22	0.000042384391755	0.000458543499104	"Mo-Su 10:00-20:00"
22	0.000042384391755	0.000458543499104	"Mo-Su 08:00-20:00"
22	0.000042384391755	0.000458543499104	"Mo-Sa 18:00-24:00"
22	0.000042384391755	0.000458543499104	"Mo-Fr 11:00-16:00"
21	0.000040457828493	0.000437700612781	"Mo-Su 11:30+"
21	0.000040457828493	0.000437700612781	"Mo-Su 10:00-02:00"
21	0.000040457828493	0.000437700612781	"11:00-26:00"
21	0.000040457828493	0.000437700612781	"Mo-Su 11:30-15:00,17:30-23:00"
21	0.000040457828493	0.000437700612781	"Tu-Su 18:00+"
21	0.000040457828493	0.000437700612781	"Mo-Su 07:00-24:00"
21	0.000040457828493	0.000437700612781	"Mo-Sa 17:00-24:00"
21	0.000040457828493	0.000437700612781	"Mo-Su 11:00-21:30"
21	0.000040457828493	0.000437700612781	"18:00-23:00"
21	0.000040457828493	0.000437700612781	"11:00 - 23:00"
21	0.000040457828493	0.000437700612781	"11:30-21:00"
20	0.000038531265232	0.000416857726458	"Su off"
20	0.000038531265232	0.000416857726458	"Mo-Su 12:00-21:00"
20	0.000038531265232	0.000416857726458	""
20	0.000038531265232	0.000416857726458	"Mo-Su 10:30-23:00"
20	0.000038531265232	0.000416857726458	"We-Mo"
20	0.000038531265232	0.000416857726458	"Mo-Su 06:00-24:00"
20	0.000038531265232	0.000416857726458	"Mo-Sa 12:00-23:00; Su 12:00-22:00"
20	0.000038531265232	0.000416857726458	"08:30-12:30,15:30-20:00"
20	0.000038531265232	0.000416857726458	"12:00-01:00"
19	0.00003660470197	0.000396014840135	"Mo-Su 11:30-14:30, 17:30-23:00"
19	0.00003660470197	0.000396014840135	"Mo-Su 09:00-02:00"
19	0.00003660470197	0.000396014840135	"Mo-Fr"
19	0.00003660470197	0.000396014840135	"Tu-Sa 18:00-24:00"
19	0.00003660470197	0.000396014840135	"Tu-Sa"
19	0.00003660470197	0.000396014840135	"Mo-Sa 12:00-23:00; Su 12:00-22:30"
19	0.00003660470197	0.000396014840135	"16:00-22:00"
19	0.00003660470197	0.000396014840135	"Tu-Su 17:00-22:00"
19	0.00003660470197	0.000396014840135	"Su-Th 11:00-23:00; Fr-Sa 11:00-24:00"
19	0.00003660470197	0.000396014840135	"11:00 - 22:00"
19	0.00003660470197	0.000396014840135	"Mo-Su 17:00-01:00"
19	0.00003660470197	0.000396014840135	"Mo-Su 11:30-14:30,17:30-22:00"
19	0.00003660470197	0.000396014840135	"Tu-Sa 18:00-23:00"
19	0.00003660470197	0.000396014840135	"Mo-Th 11:30-14:30, 18:30-22:30;Fr-Sa 11:30-14:30, 18:30-23:00;Su 11:30-14:30, 18:30-22:30"
18	0.000034678138709	0.000375171953812	"Mo-Sa 11:30-23:00"
18	0.000034678138709	0.000375171953812	"Mo-Su 12:00-23:30"
18	0.000034678138709	0.000375171953812	"Mo-Sa 10:00-20:00"
18	0.000034678138709	0.000375171953812	"Mo-Su 08:00-21:00"
18	0.000034678138709	0.000375171953812	"Mo-Sa 10:30-21:00; Su 11:00-20:00"
17	0.000032751575447	0.000354329067489	"We-Su 11:00+"
17	0.000032751575447	0.000354329067489	"12:00-02:00"
17	0.000032751575447	0.000354329067489	"Mo-Fr 09:00-18:00"
17	0.000032751575447	0.000354329067489	"Mo-Su 11:00-15:00,17:00-23:00"
17	0.000032751575447	0.000354329067489	"Tu-Su 08:00-15:00; Sa 08:00-12:00"
17	0.000032751575447	0.000354329067489	"Mo-Su 00:00-01:00,11:00-24:00"
17	0.000032751575447	0.000354329067489	"Mo-Fr 12:00-14:00"
17	0.000032751575447	0.000354329067489	"Mo-Sa 17:00+"
17	0.000032751575447	0.000354329067489	"Tu-Su 18:00-24:00"
17	0.000032751575447	0.000354329067489	"Mo-Su 12:00-22:30"
17	0.000032751575447	0.000354329067489	"Mo-Su 11:30-14:30,17:30-24:00"
17	0.000032751575447	0.000354329067489	"Mo-Th 11:00-21:00; Fr-Sa 11:00-22:00; Su 11:00-21:00"
17	0.000032751575447	0.000354329067489	"16:00-23:00"
17	0.000032751575447	0.000354329067489	"We-Su 11:00-22:00"
17	0.000032751575447	0.000354329067489	"Mo,Tu off"
17	0.000032751575447	0.000354329067489	"täglich"
16	0.000030825012186	0.000333486181166	"11:00-23:30"
16	0.000030825012186	0.000333486181166	"12:00 - 23:00"
16	0.000030825012186	0.000333486181166	"08:00-20:00"
16	0.000030825012186	0.000333486181166	"Mo-Su 10:00-18:00"
16	0.000030825012186	0.000333486181166	"Mo-Su 16:00-22:00"
16	0.000030825012186	0.000333486181166	"Tu-Su 10:00+"
16	0.000030825012186	0.000333486181166	"09:00-21:00"
16	0.000030825012186	0.000333486181166	"Tu-Su 11:30-14:30,17:30-23:00"
16	0.000030825012186	0.000333486181166	"Mo-Fr 11:00-14:30"
16	0.000030825012186	0.000333486181166	"Tu-Sa 18:00+"
15	0.000028898448924	0.000312643294843	"Mo-Fr 11:00-18:00"
15	0.000028898448924	0.000312643294843	"10:00-02:00"
15	0.000028898448924	0.000312643294843	"Tu-Su 11:30-14:30,17:30-23:30"
15	0.000028898448924	0.000312643294843	"Mo-Sa 11:30-22:00"
15	0.000028898448924	0.000312643294843	"Mo-Fr 10:00-16:00"
15	0.000028898448924	0.000312643294843	"11:30-14:30,17:30-23:00"
15	0.000028898448924	0.000312643294843	"Tu-Su 18:00-23:00"
15	0.000028898448924	0.000312643294843	"Mo-Su 13:00-23:00"
15	0.000028898448924	0.000312643294843	"We-Su 17:00+"
15	0.000028898448924	0.000312643294843	"Mo-Su 11:30-15:00,17:00-23:00"
