"n_sp"	"p"
47876	"http://linkedgeodata.org/ontology/opening_hours"
227	"http://linkedgeodata.org/ontology/opening_hours%3Akitchen"
118	"http://linkedgeodata.org/ontology/opening_hours%3Aurl"
88	"http://linkedgeodata.org/ontology/kitchen_hours"
70	"http://linkedgeodata.org/ontology/time"
23	"http://linkedgeodata.org/ontology/opening_hours%3Alunch"
22	"http://linkedgeodata.org/ontology/happy_hours"
18	"http://linkedgeodata.org/ontology/opening_hours%3Arestaurant"
14	"http://linkedgeodata.org/ontology/opening_hours%3Alastcheck"
13	"http://linkedgeodata.org/ontology/opening_hours%3Abrunch"
9	"http://linkedgeodata.org/ontology/service_times"
9	"http://linkedgeodata.org/ontology/kitchen_times"
5	"http://linkedgeodata.org/ontology/opening_hours%3Afixme"
5	"http://linkedgeodata.org/ontology/smoking_hours"
5	"http://linkedgeodata.org/ontology/opening_hours%3Anote"
5	"http://linkedgeodata.org/ontology/happy_hour"
4	"http://linkedgeodata.org/ontology/working_hours"
4	"http://linkedgeodata.org/ontology/delivery_hours"
3	"http://linkedgeodata.org/ontology/opening_hours%3Adelivery"
3	"http://linkedgeodata.org/ontology/opening_hours_1"
2	"http://linkedgeodata.org/ontology/opening_hours%3Acheck_date"
2	"http://linkedgeodata.org/ontology/opening_hours%3Aes"
2	"http://linkedgeodata.org/ontology/kitchen_hours%3Abreakfast"
2	"http://linkedgeodata.org/ontology/opening_times"
2	"http://linkedgeodata.org/ontology/opening_hours%3Adescription"
2	"http://linkedgeodata.org/ontology/opening_hours%3Abar"
2	"http://linkedgeodata.org/ontology/opening_hours%3Abreakfast"
2	"http://linkedgeodata.org/ontology/opening_hours%3Ade"
1	"http://linkedgeodata.org/ontology/service_hours%3Akitchen"
1	"http://linkedgeodata.org/ontology/opening_hours%3Abeauty"
1	"http://linkedgeodata.org/ontology/opening_hours%3Atext"
1	"http://linkedgeodata.org/ontology/supper_hours"
1	"http://linkedgeodata.org/ontology/opening_hours%3Acheckin"
1	"http://linkedgeodata.org/ontology/opening_hours%3Afood"
1	"http://linkedgeodata.org/ontology/opening_hours%3Asummer"
1	"http://linkedgeodata.org/ontology/time_off"
1	"http://linkedgeodata.org/ontology/happy_hour%3Adescription"
1	"http://linkedgeodata.org/ontology/sttimecoef"
1	"http://linkedgeodata.org/ontology/opening_hours%3Aslowfood"
1	"http://linkedgeodata.org/ontology/time_on"
1	"http://linkedgeodata.org/ontology/kitchen_hours%3Acarvery"
1	"http://linkedgeodata.org/ontology/breakfast_hours"
1	"http://linkedgeodata.org/ontology/opening_hours%3Aimbiss"
1	"http://linkedgeodata.org/ontology/timetable"
1	"http://linkedgeodata.org/ontology/opening_hours%3Atakeaway"
1	"http://linkedgeodata.org/ontology/opening_hours%3Abakery"
1	"http://linkedgeodata.org/ontology/opening_hours%3Aold"
1	"http://linkedgeodata.org/ontology/lunch_hours"
1	"http://linkedgeodata.org/ontology/opening_hours%3Acafe"
1	"http://linkedgeodata.org/ontology/tagesessen%3Atimes"
1	"http://linkedgeodata.org/ontology/kitchen_hours%3Apizza"
1	"http://linkedgeodata.org/ontology/opening_hours%3Ashop"
1	"http://linkedgeodata.org/ontology/opening_hours%3Abuffet"
1	"http://linkedgeodata.org/ontology/opening_hours%3Aa-la_carte"
1	"http://linkedgeodata.org/ontology/kitchen_hours%3Amain_menu"
1	"http://linkedgeodata.org/ontology/opening_hours%3Akithcen"
1	"http://linkedgeodata.org/ontology/kitchen_hours_1"
1	"http://linkedgeodata.org/ontology/opening_hour"
1	"http://linkedgeodata.org/ontology/kitchen_hours%3Arestaurant"
1	"http://linkedgeodata.org/ontology/opening_hours%3Aearly_bird"
1	"http://linkedgeodata.org/ontology/opening_hours%3Acuisine"
1	"http://linkedgeodata.org/ontology/opening_hours%3Aseating"
1	"http://linkedgeodata.org/ontology/opening_hours%3Asummer_season"
1	"http://linkedgeodata.org/ontology/opening_hours%3Awinter_season"
1	"http://linkedgeodata.org/ontology/opening_hours%3Asoon"
1	"http://linkedgeodata.org/ontology/delivery_times"
1	"http://linkedgeodata.org/ontology/opening%20times"
1	"http://linkedgeodata.org/ontology/opening_hours%3Asauna"
1	"http://linkedgeodata.org/ontology/opening_hours%3Aatm"
1	"http://linkedgeodata.org/ontology/opening_hours%3Ahome_delivery"
