"n_sp"	"p"
18717	"http://linkedgeodata.org/ontology/opening_hours"
31	"http://linkedgeodata.org/ontology/opening_hours%3Aurl"
18	"http://linkedgeodata.org/ontology/happy_hours"
18	"http://linkedgeodata.org/ontology/opening_hours%3Akitchen"
11	"http://linkedgeodata.org/ontology/time"
10	"http://linkedgeodata.org/ontology/opening_hours%3Alastcheck"
8	"http://linkedgeodata.org/ontology/lunch_hours"
6	"http://linkedgeodata.org/ontology/kitchen_hours"
5	"http://linkedgeodata.org/ontology/happy_hour"
4	"http://linkedgeodata.org/ontology/opening_hours%3Anote"
4	"http://linkedgeodata.org/ontology/opening_hours%3Abrunch"
3	"http://linkedgeodata.org/ontology/smoking_hours"
3	"http://linkedgeodata.org/ontology/service_times"
3	"http://linkedgeodata.org/ontology/open_hours"
2	"http://linkedgeodata.org/ontology/opening_hours%3Asummer"
2	"http://linkedgeodata.org/ontology/breakfast_hours"
2	"http://linkedgeodata.org/ontology/opening_hours%3Acafe"
2	"http://linkedgeodata.org/ontology/opening_hours%3Awinter"
1	"http://linkedgeodata.org/ontology/opening_hours%3Atext"
1	"http://linkedgeodata.org/ontology/working_hours"
1	"http://linkedgeodata.org/ontology/opening_hours%3Acheck_date"
1	"http://linkedgeodata.org/ontology/opening_hours%3Aes"
1	"http://linkedgeodata.org/ontology/opening_hours%3Adrive_thru"
1	"http://linkedgeodata.org/ontology/opening_hours%3Afixme"
1	"http://linkedgeodata.org/ontology/opening_hours%3Abakery"
1	"http://linkedgeodata.org/ontology/opening_hours%3Arestaurant"
1	"http://linkedgeodata.org/ontology/opening_hours%3Ashop"
1	"http://linkedgeodata.org/ontology/opening_hours_1"
1	"http://linkedgeodata.org/ontology/opening_hours%3Adrive_through"
1	"http://linkedgeodata.org/ontology/opening_hours%3Alunch"
1	"http://linkedgeodata.org/ontology/opening_hours%3Anl"
1	"http://linkedgeodata.org/ontology/opening_hours%3Alast_check"
1	"http://linkedgeodata.org/ontology/opening_hours%3Aladen"
1	"http://linkedgeodata.org/ontology/collection_times"
