"n_sp"	"p"
15065	"http://linkedgeodata.org/ontology/opening_hours"
34	"http://linkedgeodata.org/ontology/time"
17	"http://linkedgeodata.org/ontology/delivery_hours"
13	"http://linkedgeodata.org/ontology/opening_hours%3Aurl"
10	"http://linkedgeodata.org/ontology/opening_hours%3Adrive_thru"
7	"http://linkedgeodata.org/ontology/opening_hours%3Alastcheck"
7	"http://linkedgeodata.org/ontology/service_times"
7	"http://linkedgeodata.org/ontology/opening_hours%3Adrive_through"
5	"http://linkedgeodata.org/ontology/kitchen_hours"
3	"http://linkedgeodata.org/ontology/opening_hours%3Adelivery"
3	"http://linkedgeodata.org/ontology/opening_hours%3Aseating_area"
3	"http://linkedgeodata.org/ontology/opening_hours%3Amcdrive"
3	"http://linkedgeodata.org/ontology/operating_hours"
3	"http://linkedgeodata.org/ontology/delivery_times"
2	"http://linkedgeodata.org/ontology/working_hours"
2	"http://linkedgeodata.org/ontology/opening_hours%3Acheck_date"
2	"http://linkedgeodata.org/ontology/breakfast_hours"
2	"http://linkedgeodata.org/ontology/opening_hours%3Akitchen"
2	"http://linkedgeodata.org/ontology/opening_hours%3Alast_check"
1	"http://linkedgeodata.org/ontology/opening_hours%3Atakeout_window"
1	"http://linkedgeodata.org/ontology/opening_hours%3Amorning"
1	"http://linkedgeodata.org/ontology/opening_hours%3Alast_orders"
1	"http://linkedgeodata.org/ontology/bakery_hours"
1	"http://linkedgeodata.org/ontology/opening_hours%3Aes"
1	"http://linkedgeodata.org/ontology/smoking_hours"
1	"http://linkedgeodata.org/ontology/opening_times"
1	"http://linkedgeodata.org/ontology/lunch_hours"
1	"http://linkedgeodata.org/ontology/opening_hours_1"
1	"http://linkedgeodata.org/ontology/open_hours"
1	"http://linkedgeodata.org/ontology/service_times%3Adelivery"
1	"http://linkedgeodata.org/ontology/opening_hours%3Acarryout"
1	"http://linkedgeodata.org/ontology/delivery%3Aservice_times"
1	"http://linkedgeodata.org/ontology/opening_hours%3Aseating"
1	"http://linkedgeodata.org/ontology/opening_hours_old"
1	"http://linkedgeodata.org/ontology/opening_hours%3Apt"
1	"http://linkedgeodata.org/ontology/opening_hours%3Afr"
