"n_stot"	"subClass"
680169	"http://linkedgeodata.org/ontology/School"
633908	"http://linkedgeodata.org/ontology/Hedge"
536001	"http://linkedgeodata.org/ontology/Bench"
519059	"http://linkedgeodata.org/ontology/Restaurant"
498601	"http://linkedgeodata.org/ontology/Platform"
461479	"http://linkedgeodata.org/ontology/BusStop"
431344	"http://linkedgeodata.org/ontology/FireHydrant"
430840	"http://linkedgeodata.org/ontology/LevelCrossing"
374545	"http://linkedgeodata.org/ontology/StopPosition"
349651	"http://linkedgeodata.org/ontology/PowerLine"
313064	"http://linkedgeodata.org/ontology/TourismInformation"
289865	"http://linkedgeodata.org/ontology/SurveyPoint"
270267	"http://linkedgeodata.org/ontology/FuelStation"
261570	"http://linkedgeodata.org/ontology/PowerGenerator"
210583	"http://linkedgeodata.org/ontology/Convenience"
210312	"http://linkedgeodata.org/ontology/Bollard"
207912	"http://linkedgeodata.org/ontology/Pier"
191787	"http://linkedgeodata.org/ontology/Cafe"
191019	"http://linkedgeodata.org/ontology/FastFood"
190825	"http://linkedgeodata.org/ontology/Bank"
