"n_stot"	"subClass"
135680	"http://linkedgeodata.org/ontology/BicycleParking"
135412	"http://linkedgeodata.org/ontology/ResidentialLanduse"
135171	"http://linkedgeodata.org/ontology/RailwaySwitch"
133195	"http://linkedgeodata.org/ontology/WasteBasket"
124923	"http://linkedgeodata.org/ontology/Hospital"
124784	"http://linkedgeodata.org/ontology/Coastline"
124080	"http://linkedgeodata.org/ontology/Cutline"
123479	"http://linkedgeodata.org/ontology/StorageTank"
122383	"http://linkedgeodata.org/ontology/Toilets"
120672	"http://linkedgeodata.org/ontology/Shelter"
120158	"http://linkedgeodata.org/ontology/PostOffice"
116455	"http://linkedgeodata.org/ontology/Pub"
115697	"http://linkedgeodata.org/ontology/AirportTaxiway"
114312	"http://linkedgeodata.org/ontology/TertiaryHighway"
113513	"http://linkedgeodata.org/ontology/CyclewayTrack"
112094	"http://linkedgeodata.org/ontology/PublicBuilding"
105350	"http://linkedgeodata.org/ontology/BuildingChurch"
103264	"http://linkedgeodata.org/ontology/DrinkingWater"
100418	"http://linkedgeodata.org/ontology/Clothes"
96426	"http://linkedgeodata.org/ontology/BufferStop"
92873	"http://linkedgeodata.org/ontology/Memorial"
92781	"http://linkedgeodata.org/ontology/Telephone"
91792	"http://linkedgeodata.org/ontology/RetainingWall"
91260	"http://linkedgeodata.org/ontology/RailwayStation"
90126	"http://linkedgeodata.org/ontology/Suburb"
89292	"http://linkedgeodata.org/ontology/Atm"
86756	"http://linkedgeodata.org/ontology/Attraction"
86214	"http://linkedgeodata.org/ontology/HairdresserShop"
85665	"http://linkedgeodata.org/ontology/Bar"
85387	"http://linkedgeodata.org/ontology/Bakery"
84648	"http://linkedgeodata.org/ontology/Garden"
84643	"http://linkedgeodata.org/ontology/Viewpoint"
82122	"http://linkedgeodata.org/ontology/PicnicSite"
82043	"http://linkedgeodata.org/ontology/Town"
81453	"http://linkedgeodata.org/ontology/IndustrialProductionBuilding"
78871	"http://linkedgeodata.org/ontology/RailwayPlatform"
78389	"http://linkedgeodata.org/ontology/Police"
78107	"http://linkedgeodata.org/ontology/FireStation"
77972	"http://linkedgeodata.org/ontology/PrimaryHighway"
75678	"http://linkedgeodata.org/ontology/Tramway"
72777	"http://linkedgeodata.org/ontology/Townhall"
71853	"http://linkedgeodata.org/ontology/ParkingSpace"
70824	"http://linkedgeodata.org/ontology/SwimmingPool"
70178	"http://linkedgeodata.org/ontology/HuntingStand"
66371	"http://linkedgeodata.org/ontology/Cycleway"
66310	"http://linkedgeodata.org/ontology/DisusedRailway"
66307	"http://linkedgeodata.org/ontology/Pipeline"
66237	"http://linkedgeodata.org/ontology/RailwayCrossing"
64706	"http://linkedgeodata.org/ontology/VendingMachine"
64295	"http://linkedgeodata.org/ontology/Islet"
63422	"http://linkedgeodata.org/ontology/CampSite"
60242	"http://linkedgeodata.org/ontology/CarRepairShop"
57952	"http://linkedgeodata.org/ontology/Fountain"
56172	"http://linkedgeodata.org/ontology/Stile"
56057	"http://linkedgeodata.org/ontology/PowerSubStation"
55825	"http://linkedgeodata.org/ontology/GuestHouse"
55652	"http://linkedgeodata.org/ontology/CycleBarrier"
55094	"http://linkedgeodata.org/ontology/UnclassifiedHighway"
54266	"http://linkedgeodata.org/ontology/SportsCentre"
53443	"http://linkedgeodata.org/ontology/Library"
53035	"http://linkedgeodata.org/ontology/Museum"
52744	"http://linkedgeodata.org/ontology/Ruins"
52439	"http://linkedgeodata.org/ontology/Track"
50697	"http://linkedgeodata.org/ontology/WaterTower"
49826	"http://linkedgeodata.org/ontology/Doctors"
45461	"http://linkedgeodata.org/ontology/Entrance"
43875	"http://linkedgeodata.org/ontology/CarShop"
43647	"http://linkedgeodata.org/ontology/Airport"
43431	"http://linkedgeodata.org/ontology/CyclewayOpposite"
43232	"http://linkedgeodata.org/ontology/HighwayService"
42655	"http://linkedgeodata.org/ontology/Kiosk"
41617	"http://linkedgeodata.org/ontology/WaterWell"
41175	"http://linkedgeodata.org/ontology/TramStop"
40537	"http://linkedgeodata.org/ontology/Silo"
39433	"http://linkedgeodata.org/ontology/Craft"
39413	"http://linkedgeodata.org/ontology/Block"
39370	"http://linkedgeodata.org/ontology/SocialFacility"
38729	"http://linkedgeodata.org/ontology/Artwork"
38651	"http://linkedgeodata.org/ontology/University"
37753	"http://linkedgeodata.org/ontology/EmergencyPhone"
