Number	Opening_hours	Distance
842	Mo-Su 00:00-24:00	0
160	Mo-Su 10:00-22:00	0
144	Mo-Su 07:00-23:00	0
140	Mo-Su 07:00-22:00	0
111	10:00-22:00	1
96	10:00-23:00	1
94	Mo-Su 10:00-23:00	0
93	11:00-23:00	1
93	Mo-Su 11:00-23:00	0
76	Mo-Su 08:00-23:00	0
71	Mo-Su 09:00-22:00	0
68	09:00-21:00	1
68	Mo-Su 08:00-22:00	0
66	Mo-Su 09:00-23:00	0
62	Mo-Su 09:00-21:00	0
60	Mo-Fr 08:30-20:00	0
60	Mo-Su 10:00-21:00	0
55	09:00-22:00	1
51	09:00-23:00	1
44	Mo-Su 08:00-20:00	0
44	Mo-Su 10:00-20:00	0
43	08:00-22:00	1
42	Mo-Su 12:00-24:00	0
42	Mo-Su 10:00-18:00	0
42	Mo-Su 07:00-22:30	0
42	08:00-23:00	1
39	Mo-Su 10:00-24:00	0
39	Mo-Su 08:00-21:00	0
38	Mo-Su 07:00-21:00	0
37	08:00-20:00	1
37	Jan 01-Apr 01: Sa-Su 10:00-16:00	0
37	10:00-24:00	1
36	Mo-Su 11:00-24:00	0
36	Mo-Su 06:00-22:00	0
34	Mo-Su 08:00-24:00	0
32	11:00-24:00	1
32	08:00-21:00	1
31	Mo-Su 09:00-18:00	0
30	Mo-Fr 08:00-20:00	0
30	11:00-22:00	1
29	12:00-23:00	1
29	Mo-Su 09:00-20:00	0
29	07:00-23:00	1
28	09:00-24:00	1
28	10:00-21:00	1
28	12:00-24:00	1
28	Mo-Su	2
28	Mo-Su 08:00-18:00	0
26	09:00-18:00	1
26	Mo-Su 07:30-22:00	0
26	Mo-Su 07:00-24:00	0
23	10:00-20:00	1
23	Mo-Fr 08:00-18:00	0
22	Mo-Su 09:00-24:00	0
22	Mo-Fr 09:00-17:00	0
22	07:00-22:00	1
21	10:00-18:00	1
21	Mo-Sa 09:00-20:00	0
21	Tu-Su 10:00-18:00	0
20	Mo-Su 11:00-22:00	0
20	Sa-Su 14:00-18:00	0
20	11:00-21:00	1
20	Mo 00:00-00:00	0
19	Mo-Fr 07:00-21:00; Sa,Su,PH 08:00-20:00	0
19	10:00-19:00	1
19	Mo-Sa 10:00-18:00	0
19	Mo-Su 12:00-22:00	0
19	Mo-Su 11:00-18:00	0
18	10:00-17:00	1
18	Mo-Su 12:00-23:00	0
18	Mo-Su 11:00-21:00	0
18	Mo-Su 11:00-20:00	0
17	09:00-20:00	1
17	We-Su 14:00-18:00	0
17	Mo-Su 07:00-20:00	0
17	Mo-Fr 07:00-16:00	0
17	Mo-Sa 09:00-18:00	0
17	Tu-Su 08:00-15:00;Sa 08:00-12:00	0
17	Mo-Sa 09:30-20:00	0
17	00:00-24:00	1
17	11:00-20:00	1
17	Mo-Sa 08:00-20:00	0
17	Mo-Fr 09:00-18:00	0
15	Mo-Su 10:00-17:00	0
15	Mo-Fr 09:00-16:00	0
15	Mo-Su 09:00-19:00	0
15	Mo-Su 07:30-21:00	0
15	Mo-Fr 08:00-23:00; Sa,Su 10:00-23:00	0
15	Mo-Su 07:00-18:00	0
15	07:00-19:00	1
14	08:00-24:00	1
14	Mo-Su 07:00-19:00	0
