Number	Opening_hours	Distance
2089	Mo-Su 00:00-24:00	0
193	Mo-Su 10:00-22:00	0
181	Mo-Su 11:00-23:00	0
165	Mo-Su 11:00-22:00	0
119	10:00-22:00	1
96	11:00-23:00	1
95	11:00-22:00	1
84	Mo-Su 07:00-23:00	0
82	Mo-Su 10:00-23:00	0
71	10:00-23:00	1
65	Mo-Su 10:00-21:00	0
58	Mo-Su 09:00-23:00	0
55	Mo-Su 07:00-24:00	0
54	Mo-Su 11:00-21:00	0
54	Mo-Su 11:00-24:00	0
43	Mo-Su 10:00-24:00	0
42	Mo-Su 09:00-22:00	0
39	Mo-Sa 10:00-20:00	0
38	Mo-Su 08:00-23:00	0
38	Mo-Sa 09:30-20:00	0
38	09:00-22:00	1
37	Mo-Su 09:00-21:00	0
35	Mo-Fr 08:30-20:00	0
34	Mo-Sa 09:00-20:00	0
32	11:00-24:00	1
31	Mo-Su 10:00-20:00	0
29	Mo-Su 12:00-22:00	0
29	10:00-21:00	1
28	Mo-Fr 11:00-22:00; Sa-Su 12:00-22:00	0
28	Mo-Su 07:00-22:00	0
28	Mo-Sa 11:00-20:00	0
27	Mo-Sa 11:00-21:00	0
26	Mo-Su 06:00-24:00	0
26	Mo-Su 08:00-22:00	0
25	Mo-Su 07:00-01:00	0
25	Mo-Sa 11:00-22:00; Su 12:00-22:00	0
25	11:00-21:00	1
24	Mo-Sa 10:00-21:00	0
22	Mo-Su 08:00-24:00	0
22	Mo-Su 10:30-22:00	0
21	08:00-22:00	1
21	Mo-Fr 11:00-15:00	0
21	Mo-Sa 10:00-22:00	0
21	09:00-21:00	1
21	Mo-Fr 11:00-21:00;Sa-Su 12:00-21:00	0
20	Mo-Sa 11:00-22:00	0
20	Mo-Su 11:30-22:00	0
20	08:00-23:00	1
19	Mo-Su 17:00-23:00	0
18	Mo-Su 06:00-23:00	0
18	Mo-Su 09:00-20:00	0
18	Mo-Fr 11:00-14:00	0
17	7:00-23:00	1
17	Mo-Su 11:00-20:00	0
16	Mo-Sa 08:00-20:00	0
16	Mo-Su 11:00-01:00	0
16	Su-Th 11:00-23:00; Fr-Sa 11:00-24:00	0
16	Lun-SÃƒÂ¡b 11:00-22:00 Dom 11:00-21:00	4
15	Mo-Su 07:00-00:00	0
14	Mo-Su 08:00-21:00	0
14	Mo-Su 12:00-24:00	0
14	Mo-Su 06:00-22:00	0
14	Mo-Su 10:30-21:00	0
14	Su-Th 11:00-22:00; Fr-Sa 11:00-23:00	0
14	Mo-Su 11:00-22:30	0
14	07:00-23:00	1
14	08:30-12:30,15:30-20:00	1
14	00:00-24:00	1
13	09:00-23:00	1
13	Mo-Su 10:30-23:00	0
13	07:00-24:00	1
13	Mo-Fr 11:00-23:00; Sa-Su 12:00-23:00	0
13	Tu-Su 11:00-22:00	0
13	Mo-Fr 11:00-22:00;Sa-Su 12:00-22:00	0
13	Mo-Su	2
13	Mo-Su 09:00-24:00	0
13	05:00-04:00	1
13	Mo-Sa 10:00-21:30; Su 10:00-20:30	0
12	Mo-Su 16:00-22:00	0
12	Mo-Su 12:00-23:00	0
12	Mo-Fr 10:00-20:00	0
12	10:30-22:00	1
12	Mo-Sa 10:00-22:00; Su 12:00-22:00	0
12	10:00-20:00	1
12	Mo-Fr 08:00-18:00	0
12	10:00-22:30	1
12	Mo-Sa 11:00-20:00; Su 12:00-20:00; Jan 1,Apr 19,May 1,Jun 24,Jul 5,Jul 24,Oct 12,Dec 24,Dec 25,Dec 31 12:00-20:00	0
11	06:00-24:00	1
11	Mo-Sa 10:00-22:00; Su 11:00-22:00	0
11	08:00-21:00	1
11	Mo-Su 10:00-02:00	0
11	Mo-Fr 08:00-16:00	0
11	Mo-Sa 11:00-21:00; Su 12:00-21:00; Nov 29-Dec 22 10:00-23:00; Dec 23 10:00-00:00; Dec 24,31 10:00-18:00; Dec 25,Jan 1 12:00-20:00; Apr 19,May 1,Jun 24,Jul 5,Jul 24,Oct 12 12:00-21:00	0
11	Mo-Su 	2
11	Mo-Sa 06:00-22:00	0
10	Mo-Fr 10:00-17:00	0
10	Mo-Fr 11:00-18:00	0
10	10:00-24:00	1
10	08:00-20:00	1
10	Mo-Su 08:00-20:00	0
10	Mo-Su 15:00-22:00	0
10	Mo-Sa 11:00-23:00	0
10	Mo-Sa 09:00-21:00; Su 09:00-20:00	0
10	Mo-Su 11:30-23:00	0
10	Mo-Su 10:30-22:30	0
10	Mo-Fr 08:00-15:00	0
10	Mo-Sa 09:00-21:00	0
10	Mo-Sa 11:00-19:00	0
10	Mo-Sa 11:00-23:00; Su 12:00-22:00	0
10	Mo-Fr 07:00-17:00	0
10	Mo-Su 11:00-19:00	0
10	11:00-20:00	1
10	Mo-Fr 11:00-21:00; Sa-Su 12:00-21:00	0
10	Mo-Su 07:00-02:00	0
10	Mo-Sa 06:30-22:00	0
10	Su-Th 10:00-00:00; Fr-Sa 10:00-01:-00	0
10	Mo-Th 10:00-8:00; Fr-Su 10:00-9:00	2
9	Mo-Su 10:00-20:00	0
9	Mo-Fr 07:00-19:00	0
9	06:00-05:00	1
9	Mo-Fr 11:00-23:00; Sa,Su,PH 10:20-23:00	0
9	Mo-Fr 07:00-15:00	0
9	Mo-Fr 11:00-23:00; Sa,Su,PH 10:30-23:00	0
9		4
9	Mo-Su 17:00-22:00	0
9	Mo-Fr 10:00-22:00;Sa-Su 11:00-22:00	0
9	Mo-Su 11:00-21:30	0
9	Su-Sa 11:00-22:00	0
9	Surise-Suset	4
9	Mo-Su 11:00-23:00; Fr,Sa 11:00-24:00	0
9	Mo-Sa 09:00-19:00	0
9	Mo-Fr 07:00-22:00; Sa 08:00-22:00; Su 09:00-22:00	0
8	Mo-Fr 11:00-21:00	0
8	Mo-Sa 11:00-23:00; Su 13:00-23:00	0
8	Mo-Fr 09:00-18:00	0
8	07:00-01:00	1
8	Mo-Fr 11:00-16:00	0
8	Mo-Fr 07:00-22:00; Sa 08:00-22:00; Su 09:00-21:00	0
8	Mo-Sa 11:00-21:00; Su 12:00-21:00	0
8	Mo-Sa 09:00-21:00; Su 10:00-20:00	0
8	nonstop	4
8	Mo-Su 12:00-00:00	0
8	Mo-Sa 11:00-22:00; Su 12:00-21:00	0
8	10:30-24:00	1
8	10:00-01:00	1
8	07:00-22:00	1
8	Mo-Fr 10:00-18:00	0
8	12:00-22:00	1
8	Mo-Sa 10:00-22:00;Su 11:00-22:00	0
8	11:30-22:00	1
8	Mo-Su 11:00-23:30	0
8	06:00-23:00	1
8	Mo-Sa 11:00-23:00; Su 12:00-23:00	0
8	Mo-Su 10:00-21:30	0
8	Mo-Sa 10:30-20:00	0
8	Mo-Su 10:00-22:30	0
8	Mo-Fr 07:00-16:00	0
8	Mo-Fr 11:00-20:00	0
8	Tu-Su 08:00-15:00;Sa 08:00-12:00	0
7	fixme	4
7	Mo-Su 07:00-21:00	0
7	Mo-Fr 10:00-20:00; Sa 10:00-18:00	0
7	12:00-23:00	1
7	09:00-20:00	1
7	Su 00:00-00:00	0
7	11:00-16:00	1
